width=320
height=240
20160723T141107.490409 frame_000000
20160723T141107.542965 frame_000001
20160723T141107.569643 frame_000002
20160723T141107.601200 frame_000003
20160723T141107.662763 frame_000004
20160723T141107.697750 frame_000005
20160723T141107.743309 frame_000006
20160723T141107.787704 frame_000007
20160723T141107.809633 frame_000008
20160723T141107.834828 frame_000009
20160723T141107.871002 frame_000010
20160723T141107.907400 frame_000011
20160723T141107.937767 frame_000012
20160723T141107.968148 frame_000013
20160723T141108.008069 frame_000014
20160723T141108.035766 frame_000015
20160723T141108.058788 frame_000016
20160723T141108.086408 frame_000017
20160723T141108.107374 frame_000018
20160723T141108.136264 frame_000019
20160723T141108.171112 frame_000020
20160723T141108.208137 frame_000021
20160723T141108.419346 frame_000022
20160723T141108.454381 frame_000023
20160723T141108.475404 frame_000024
20160723T141108.506936 frame_000025
20160723T141108.534963 frame_000026
20160723T141108.556992 frame_000027
20160723T141108.592534 frame_000028
20160723T141108.620069 frame_000029
20160723T141108.658111 frame_000030
20160723T141108.687651 frame_000031
20160723T141108.708879 frame_000032
20160723T141108.736709 frame_000033
20160723T141108.760191 frame_000034
20160723T141108.788220 frame_000035
20160723T141108.815753 frame_000036
20160723T141108.848423 frame_000037
20160723T141108.877905 frame_000038
20160723T141108.907941 frame_000039
20160723T141108.937206 frame_000040
20160723T141108.958229 frame_000041
20160723T141108.988743 frame_000042
20160723T141109.019778 frame_000043
20160723T141109.054849 frame_000044
20160723T141109.087191 frame_000045
20160723T141109.110232 frame_000046
20160723T141109.132753 frame_000047
20160723T141109.157904 frame_000048
20160723T141109.188236 frame_000049
20160723T141109.222892 frame_000050
20160723T141109.257406 frame_000051
20160723T141109.288591 frame_000052
20160723T141109.321625 frame_000053
20160723T141109.356036 frame_000054
20160723T141109.388749 frame_000055
20160723T141109.420063 frame_000056
20160723T141109.460107 frame_000057
20160723T141109.486986 frame_000058
20160723T141109.510011 frame_000059
20160723T141109.543550 frame_000060
20160723T141109.570268 frame_000061
20160723T141109.606236 frame_000062
20160723T141109.632767 frame_000063
20160723T141109.657790 frame_000064
20160723T141109.689821 frame_000065
20160723T141109.744078 frame_000066
20160723T141109.769102 frame_000067
20160723T141109.801633 frame_000068
20160723T141109.836667 frame_000069
20160723T141109.868198 frame_000070
20160723T141109.905733 frame_000071
20160723T141109.936262 frame_000072
20160723T141109.961286 frame_000073
20160723T141109.982807 frame_000074
20160723T141110.006830 frame_000075
20160723T141110.034277 frame_000076
20160723T141110.069506 frame_000077
20160723T141110.209785 frame_000078
20160723T141110.236351 frame_000079
20160723T141110.267480 frame_000080
20160723T141110.301388 frame_000081
20160723T141110.334048 frame_000082
20160723T141110.359516 frame_000083
20160723T141110.388727 frame_000084
20160723T141110.422144 frame_000085
20160723T141110.455490 frame_000086
20160723T141110.484930 frame_000087
20160723T141110.521738 frame_000088
20160723T141110.552664 frame_000089
20160723T141110.586012 frame_000090
20160723T141110.621540 frame_000091
20160723T141110.652644 frame_000092
20160723T141110.673713 frame_000093
20160723T141110.705631 frame_000094
20160723T141110.743001 frame_000095
20160723T141110.772143 frame_000096
20160723T141110.805915 frame_000097
20160723T141110.838596 frame_000098
20160723T141110.869316 frame_000099
20160723T141110.892547 frame_000100
20160723T141110.922261 frame_000101
20160723T141110.955347 frame_000102
20160723T141110.986477 frame_000103
20160723T141111.020585 frame_000104
20160723T141111.054116 frame_000105
20160723T141111.086359 frame_000106
20160723T141111.123862 frame_000107
20160723T141111.156662 frame_000108
20160723T141111.180684 frame_000109
20160723T141111.202535 frame_000110
20160723T141111.224251 frame_000111
20160723T141111.251711 frame_000112
20160723T141111.284734 frame_000113
20160723T141111.318905 frame_000114
20160723T141111.352365 frame_000115
20160723T141111.387656 frame_000116
20160723T141111.418960 frame_000117
20160723T141111.450966 frame_000118
20160723T141111.484439 frame_000119
20160723T141111.522016 frame_000120
20160723T141111.555714 frame_000121
20160723T141111.584972 frame_000122
20160723T141111.619273 frame_000123
20160723T141111.655395 frame_000124
20160723T141111.686162 frame_000125
20160723T141111.720733 frame_000126
20160723T141111.754706 frame_000127
20160723T141111.788757 frame_000128
20160723T141111.824538 frame_000129
20160723T141111.854204 frame_000130
20160723T141111.887757 frame_000131
20160723T141111.921083 frame_000132
20160723T141111.952443 frame_000133
20160723T141111.988312 frame_000134
20160723T141112.020112 frame_000135
20160723T141112.045270 frame_000136
20160723T141112.070683 frame_000137
20160723T141112.103667 frame_000138
20160723T141112.139834 frame_000139
20160723T141112.174366 frame_000140
20160723T141112.202900 frame_000141
20160723T141112.234669 frame_000142
20160723T141112.267486 frame_000143
20160723T141112.302941 frame_000144
20160723T141112.334360 frame_000145
20160723T141112.367609 frame_000146
20160723T141112.389082 frame_000147
20160723T141112.419324 frame_000148
20160723T141112.452689 frame_000149
20160723T141112.473757 frame_000150
20160723T141112.503356 frame_000151
20160723T141112.536545 frame_000152
20160723T141112.572056 frame_000153
20160723T141112.603163 frame_000154
20160723T141112.626280 frame_000155
20160723T141112.653706 frame_000156
20160723T141112.686535 frame_000157
20160723T141112.722824 frame_000158
20160723T141112.753181 frame_000159
20160723T141112.798657 frame_000160
20160723T141112.820915 frame_000161
20160723T141112.854732 frame_000162
20160723T141112.891060 frame_000163
20160723T141112.921189 frame_000164
20160723T141112.952409 frame_000165
20160723T141112.987031 frame_000166
20160723T141113.018910 frame_000167
20160723T141113.056610 frame_000168
20160723T141113.087141 frame_000169
20160723T141113.120198 frame_000170
20160723T141113.159543 frame_000171
20160723T141113.187160 frame_000172
20160723T141113.208259 frame_000173
20160723T141113.239805 frame_000174
20160723T141113.268112 frame_000175
20160723T141113.304564 frame_000176
20160723T141113.335791 frame_000177
20160723T141113.372102 frame_000178
20160723T141113.403134 frame_000179
20160723T141113.434617 frame_000180
20160723T141113.475223 frame_000181
20160723T141113.534574 frame_000182
20160723T141113.557739 frame_000183
20160723T141113.588031 frame_000184
20160723T141113.628705 frame_000185
20160723T141113.656232 frame_000186
20160723T141113.685716 frame_000187
20160723T141113.718697 frame_000188
20160723T141113.751268 frame_000189
20160723T141113.788826 frame_000190
20160723T141113.819136 frame_000191
20160723T141113.844424 frame_000192
20160723T141113.873243 frame_000193
20160723T141113.903736 frame_000194
20160723T141113.940691 frame_000195
20160723T141113.970564 frame_000196
20160723T141113.992301 frame_000197
20160723T141114.021100 frame_000198
20160723T141114.055681 frame_000199
20160723T141114.091217 frame_000200
20160723T141114.120594 frame_000201
20160723T141114.157134 frame_000202
20160723T141114.186615 frame_000203
20160723T141114.217992 frame_000204
20160723T141114.259615 frame_000205
20160723T141114.289259 frame_000206
20160723T141114.310891 frame_000207
20160723T141114.339112 frame_000208
20160723T141114.360358 frame_000209
20160723T141114.389124 frame_000210
20160723T141114.419143 frame_000211
20160723T141114.457242 frame_000212
