plant_game_name,common_name,higher_classification,family,plant_type,plant_height,leaf_size,uses,location,sunlight,water,notes
AchilleaPtarmica,Sneezewort,Yarrows,Asteraceae (Daisy),flower,600,10,"essential oil,insect repellant,medicine",,full sun,well drained soil,"when chewed, the plant produces a numbing, tingling effect in the mouth, comparable to that of Sichuan pepper. For this reason, it is sometimes used in herbal medicine to relieve toothache or ulcers, and as a culinary herb"
AconitumNapellus,Aconite,,Ranunculaceae,flower,1000,20,poison,temperate,,,"contain the chemical alkaloids aconitine, mesaconitine, hypaconitine and jesaconitine, which are highly toxic"
Adonis,Pheasant's eye,,Ranunculaceae,flower,300,6,poison,temperate,,,"pretty flowers - dont eat"
AegopodiumPodagraria,Ground Elder,Apiaceae,Aegopodium,flower,1000,10,"herb,spinach substitute,",temperate,,,"treat gout and arthritis if boiled or use as salad before it flowers"
Ageratum,Floss Flower,Asterales,Asteraceae,flower,30,5,decoration,,,,decoration
Alchemilla,Lady's mantle,,Rosaceae,flower,600,30,"mend and connect torn tissues,used by herbalists for insomnia and anxiety",,,,contains astringents and tannins which have many health benefits
AlliumAmbliophyllum,Wild Onion,,Allium,flower,300,15,cooking,,,,"family of onions, garlic, leek"
AlthaeaOfficinalis,Marshmallow plant,,,flower,1200,75,cooking,,,,"used in herbalism and as an ornamental plant. Marshmallow confection can be made from the root"
Alyssum,Alyssum,Lobularia maritima,Brassicaceae,flower,300,4,decoration,,,,good groundcover for gardens
Amaranthus,Pigweed,Amaranth,Amaranthaceae,flower,2500,15,decoration,,,,has grain but not very nutritious 
AnemoneSylvestris,Snowdrop Anemone,Anemone,Ranunculaceae,flower,50,5,decoration,,,,good ground cover
Anemone,Windflowers,,Ranunculaceae,flower,200,10,decoration,,,,
Antirrhinum,Snapdragons,Lamiales,Plantaginaceae,flower,500,20,border plants,,,,green dye from the flowers
AperaSpicaVenti,Windgrass,,Poaceae,grass,300,3,grass,,,,
ArtemisiaLudoviciana,White sagebrush,,Asteraceae,bush,900,3,source of fiber for crafting household items,,,,
Bellis,Daisy,Asterales,Asteraceae,flower,20,10,edible,,,,"eaten raw in salads, or cooked. Flower buds and petals can be eaten raw in sandwiches, soups and salads. also used as a tea and as a vitamin supplement"
BerberisThunbergii,Red Barberry,,Berberidaceae,shrub,950,10,Tick numbers are higher in areas with thick barberry,,,,
Bergenia,Elephant's Ears,Saxifragales,Saxifragaceae,flowering plant,600,300,,,,,
BidensTripartita,three-lobe beggartick,Asterales,Asteraceae,flower,600,20,,,,,
Brunnera,,,Boraginaceae,flowering plant,60,3,blue flowers,,,,
CalendulaOfficinalis,Pot marigold,Asterales,Asteraceae,flower,800,170,"salads,tea,garnish,saffron",,,,
Calibrachoa,Nightshade,Solanales,Solanaceae,flower,,,like a Petunia,,,,
Callistephus,Annual Aster,Asterales,Asteraceae,flower,1000,30,pretty flowers,,,,
CampanulaRapunculoides,Creeping Bellflower,Bellflowers,Campanulaceae,flower,60,20,weed - fast spreading,,,,
Cannabis,Hemp,Rosales,Cannabaceae,flowering herb,1000,30," paper, cordage, construction material and textiles in general, to clothing. Hemp is stronger and longer-lasting than cotton. It also is a useful source of foodstuffs (hemp milk, hemp seed, hemp oil) and biofuels,leaves for marijuana,stalks for fibre",,,,
Carex,Sedges,Poales,Cyperaceae,grass,,,"baskets, fibre,edible,",,,,
CentaureaMontana,Mountain Cornflower,,Asteraceae,flowering plant,700,20,blue flowers,,,,
Centaurea,Knapweeds,Asterales,Asteraceae,flower,600,10,blue white or purple flowers,,,,
Chelidonium,Celandines,Poppies,Papaveraceae,flower,1200,10,yellow flowers,,,,
Clarkia,Clarkia,Myrtales,Onagraceae,flower,1600,10,"common name godetia, have white, pink, or red flowers and are often spotted or streaked",,,,
Cleome,Spider flowers,Brassicales,Cleomaceae,flower,1500,20,"pink, white, and lavender flowers",,,,
Convallaria,Lily of the valley,,Asparagaceae,flowering plant,300,250,White flowers - highly poisonous,,,,
CornusAlba,White dogwood,Cornus,Cornaceae,shrub,2400,,,,,,
Corydalis,Corydalis,Ranunculales,Papaveraceae,flower,,,,,,,
Cosmos,Cosmos,Asterales,Asteraceae,flower,2000,20,,,,,
Crocus,Crocus,Asparagales,Iridaceae,flower,30,10,stamins used to make Saffron,,,,
CytisusRuthenicus,,Fabales,Fabaceae,flowering shrub,,,,,,,
Dactylis,Orchard Grass,,Poaceae,grass,1400,200,also known as cocksfoot it may be harvested four times a year and remains productive during 4 to 8 year,,,,
Dahlia,Dahlia,,Asteraceae,flower,400,90,sweet potato-like tubers,,,,"fruit sugar, extracted from dahlia tubers also known as diabetic sugar"
Delphinium,Larkspur,Ranunculales,Ranunculaceae,flower,1800,200,dolphin shaped flowers - purple,,,,
DianthusBarbatus,Sweet William,Caryophyllales,Caryophyllaceae,flower,600,30,ornamental garden plant,,,,
Doronicum,Leopard's-banes,Sunflower,Asteraceae,flower,1200,20,"part of sunflower family they have yellow, daisy-like flowerheads",,,,
EchinaceaPurpurea,Purple coneflower,Asterales,Asteraceae,flower,1500,20,,,,,"Echinacea purpurea contains alkamides, caffeic acid derivatives, polysaccharides, and glycoproteins"
EpilobiumAngustifolium,Fireweed,Myrtales,Onagraceae,flower,2500,30,also known as rosebay or willowherb the flowers make nice jam,,,,
EquisetumArvense,Field Horsetail,Equisetales,Equisetaceae,bush,900,8,eaten as vegetable,,,,"rich in silicon (10%), potassium, calcium, manganese, magnesium and phosphorus, phytosterols, dietary fiber, vitamins A, E and C, tannins, alkaloids, saponins, flavonoids, glycosides and caffeic acid phenolic ester"
ErodiumCicutarium,Common stork's-bill,Geraniales,Geraniaceae,bush,600,20,edible plant similar to sharp parsley,,,,"Raw Hairy stork's bill are 90.6% water, 7.9% carbohydrates, 0.6% protein, 3% dietary fiber, 0.8% ash and 0.1% fat"
Erysimum,Wallflowers,Brassicales,Brassicaceae,flowering plant,530,20,grows nicely up walls - hence the name,,,,
Eschscholzia,Yellow Poppy,Eschscholzia,Papaveraceae,flower,300,20,poppy flowers - yellow or orange,,,,
Filipendula,Meadowsweet,Rosales,Rosaceae,flowering plant,2000,40,used as food plants by the larvae of some moths,,,,
FilipendulaAureovariegata,Queen Of The Meadow,Rosales,Rosaceae,flowering plant,1500,,,,,,
FragariaVesca,Wild Strawberry,Rosales,Rosaceae,herbaceous plant,100,30,delicious fruit and used in jams and cooking recipes,,,,
Gagea,Gagea,Lilieae,Liliaceae,flower,,,Lily flowers,,,,
Gazania,African Daisies,Asterales,Asteraceae,flower,,,,,,,
GeraniumPratense,Meadow Geranium,Crane's-bill,Geraniaceae,flower,1000,60,pale violet flowers,,,,
GeumUrbanum,Wood Avens,Rosales,Rosaceae,flower,600,10,bright yellow petals - the roots contain the compound eugenol (cloves) andsed as a spice in soups and for flavouring ale,,,,
GlechomaHederacea,Ground-ivy,Lamiales,Lamiaceae,creeper,400,10,Glechoma has been used in the cheese-making process as a substitute for animal rennet,,,,
Godetia,Satin flower,Oenothera,Onagraceae,flower,600,10,,,,,
Helianthus,Sunflowers,Asterales,Asteraceae,flower,3000,300,"food crops for humans, cattle, and poultry, and as ornamental plants.",,,,
HelichrysumBracteatum,Strawflower,Asterales,Asteraceae,flower,900,40,,,,,
Heliopsis,False Sunflower,Asterales,Asteraceae,flower,1500,80,,,,,
HemerocallisLilioasphodelus,Yellow daylily,Asparagales,Asphodelaceae,flower,750,50,,,,,
