ue4_id,recipe_id,recipe_name,base_time_to_build,base_cost_to_build
torch,torch,Torch,1,0
wooden_plank,wooden_plank,Wooden Plank,3,1
charcoal,charcoal,Charcoal,3,0
butter,butter,Butter,5,0
bread,bread,Bread,4,0
biscuit,biscuit,Biscuit,3,0
chair_oak,chair_oak,Chair Oak,2,2
chair_pine,chair_pine,Chair Pine,2,1
chair_cedar,chair_cedar,Chair Cedar,2,3
table_pine,table_pine,Table Pine,4,3
table_oak,table_oak,Table Oak,4,4
table_cedar,table_cedar,Table Cedar,4,5
shelf_pine,shelf_pine,Shelf Pine,1,1
shelf_oak,shelf_oak,Shelf Oak,1,2
shelf_cedar,shelf_cedar,Shelf Cedar,1,3
copper_bar,copper_bar,Copper Bar,2,1
iron_bar,iron_bar,Iron Bar,2,1
silver_bar,silver_bar,Silver Bar,2,1
gold_bar,gold_bar,Gold Bar,2,1
titanium_bar,titanium_bar,Titanium Bar,2,1
