---,level_name,spawn_id_class_name,num_items_to_spawn
grassland_herb,"lvl_grassland","HerbPickup_C","200"
grassland_ore,"lvl_grassland","OrePickup_C","10"
grassland_mushroom,"lvl_grassland","mushroomPickup_C","200"
grassland_stick,"lvl_grassland","WoodStickShortPickup_C","200"
grassland_apple,"lvl_grassland","ApplePickup_C","20"
grassland_gem_red,"lvl_grassland","GemPickupRed_C","1"
grassland_gem_organge,"lvl_grassland","GemPickupOrange_C","1"
grassland_gem_white,"lvl_grassland","GemPickupWhite_C","0"
grassland_hardwood,"lvl_grassland","WoodStickHardwoodPickup_C","0"
quarry_herb,"lvl_quarry","HerbPickup_C","200"
quarry_ore,"lvl_quarry","OrePickup_C","10"
quarry_mushroom,"lvl_quarry","mushroomPickup_C","200"
quarry_stick,"lvl_quarry","WoodStickShortPickup_C","200"
quarry_apple,"lvl_quarry","ApplePickup_C","20"
quarry_gem_red,"lvl_quarry","GemPickupRed_C","1"
quarry_gem_organge,"lvl_quarry","GemPickupOrange_C","1"
quarry_gem_white,"lvl_quarry","GemPickupWhite_C","0"
quarry_hardwood,"lvl_quarry","WoodStickHardwoodPickup_C","0"
mountains_herb,"lvl_mountains","HerbPickup_C","200"
mountains_ore,"lvl_mountains","OrePickup_C","200"
mountains_mushroom,"lvl_mountains","mushroomPickup_C","20"
mountains_stick,"lvl_mountains","WoodStickShortPickup_C","50"
mountains_apple,"lvl_mountains","ApplePickup_C","20"
mountains_gem_red,"lvl_mountains","GemPickupRed_C","100"
mountains_gem_organge,"lvl_mountains","GemPickupOrange_C","60"
mountains_gem_white,"lvl_mountains","GemPickupWhite_C","10"
mountains_hardwood,"lvl_mountains","WoodStickHardwoodPickup_C","1"
island_herb,"lvl_island","HerbPickup_C","100"
island_ore,"lvl_island","OrePickup_C","50"
island_mushroom,"lvl_island","mushroomPickup_C","50"
island_stick,"lvl_island","WoodStickShortPickup_C","200"
island_apple,"lvl_island","ApplePickup_C","50"
island_gem_red,"lvl_island","GemPickupRed_C","1"
island_gem_organge,"lvl_island","GemPickupOrange_C","1"
island_gem_white,"lvl_island","GemPickupWhite_C","0"
island_hardwood,"lvl_island","WoodStickHardwoodPickup_C","0"
cave_herb,"lvl_cave","HerbPickup_C","10"
cave_ore,"lvl_cave","OrePickup_C","200"
cave_mushroom,"lvl_cave","mushroomPickup_C","20"
cave_stick,"lvl_cave","WoodStickShortPickup_C","10"
cave_apple,"lvl_cave","ApplePickup_C","2"
cave_gem_red,"lvl_cave","GemPickupRed_C","100"
cave_gem_organge,"lvl_cave","GemPickupOrange_C","100"
cave_gem_white,"lvl_cave","GemPickupWhite_C","50"
cave_hardwood,"lvl_cave","WoodStickHardwoodPickup_C","50"
town_herb,"lvl_town","HerbPickup_C","20"
town_ore,"lvl_town","OrePickup_C","10"
town_mushroom,"lvl_town","mushroomPickup_C","100"
town_stick,"lvl_town","WoodStickShortPickup_C","50"
town_apple,"lvl_town","ApplePickup_C","10"
town_gem_red,"lvl_town","GemPickupRed_C","0"
town_gem_organge,"lvl_town","GemPickupOrange_C","0"
town_gem_white,"lvl_town","GemPickupWhite_C","0"
town_hardwood,"lvl_town","WoodStickHardwoodPickup_C","0"
desert_herb,"lvl_desert","HerbPickup_C","10"
desert_ore,"lvl_desert","OrePickup_C","50"
desert_mushroom,"lvl_desert","mushroomPickup_C","0"
desert_stick,"lvl_desert","WoodStickShortPickup_C","200"
desert_apple,"lvl_desert","ApplePickup_C","0"
desert_gem_red,"lvl_desert","GemPickupRed_C","1"
desert_gem_organge,"lvl_desert","GemPickupOrange_C","50"
desert_gem_white,"lvl_desert","GemPickupWhite_C","50"
desert_hardwood,"lvl_desert","WoodStickHardwoodPickup_C","50"
doctade_herb,"lvl_doctade","HerbPickup_C","200"
doctade_ore,"lvl_doctade","OrePickup_C","10"
doctade_mushroom,"lvl_doctade","mushroomPickup_C","200"
doctade_stick,"lvl_doctade","WoodStickShortPickup_C","200"
doctade_apple,"lvl_doctade","ApplePickup_C","20"
doctade_gem_red,"lvl_doctade","GemPickupRed_C","1"
doctade_gem_organge,"lvl_doctade","GemPickupOrange_C","1"
doctade_gem_white,"lvl_doctade","GemPickupWhite_C","0"
doctade_hardwood,"lvl_doctade","WoodStickHardwoodPickup_C","0"
town_clinton_herb,"lvl_town_clinton","HerbPickup_C","200"
town_clinton_ore,"lvl_town_clinton","OrePickup_C","90"
town_clinton_mushroom,"lvl_town_clinton","mushroomPickup_C","200"
town_clinton_stick,"lvl_town_clinton","WoodStickShortPickup_C","200"
town_clinton_apple,"lvl_town_clinton","ApplePickup_C","50"
town_clinton_gem_red,"lvl_town_clinton","GemPickupRed_C","1"
town_clinton_gem_organge,"lvl_town_clinton","GemPickupOrange_C","1"
town_clinton_gem_white,"lvl_town_clinton","GemPickupWhite_C","0"
town_clinton_hardwood,"lvl_town_clinton","WoodStickHardwoodPickup_C","0"
