"---","spawn_id_string","spawn_id_class_name","radius","min_quant","max_quant","location_name","X","Y","Z","level_name",
"[BP_pickup_spawner_22]","HerbPickup","HerbPickup_C","6000.0","15","20","","2310.0","8280.0","4634.216309","lvl_quarry",
"[BP_spawner_apple_castle]","ApplePickup","ApplePickup_C","1000.0","4","7","Castle","-7790.0","12670.0","5830.0","lvl_quarry",
"[BP_spawner_Apples_Shed","ApplePickup","ApplePickup_C","1000.0","5","8","Shed","8680.0","-15000.0","54.687599","lvl_quarry",
"[BP_spawner_Gem_Mine]","GemPickup","GemPickupRed_C","6000.0","7","13","Mine","-3030.0","-4990.0","460.0","lvl_quarry",
"[BP_spawner_Herbs_start]","OrePickup","HerbPickup_C","5000.0","12","19","Start","7950.0","-21670.0","160.0","lvl_quarry",
"[BP_spawner_herbs_woodsStart","HerbPickup","HerbPickup_C","5000.0","19","39","","1700.0","-15940.0","210.001038","lvl_quarry",
"[BP_spawner_ore_mine_mid]","OrePickup","OrePickup_C","4000.0","26","34","","3510.0","-4150.0","390.0","lvl_quarry",
"[BP_spawner_ore_woodsEnd]","OrePickup","OrePickup_C","6000.0","25","35","Woods End","-8040.0","-14240.0","180.702179","lvl_quarry",
"[BP_spawner_wood_highlands]","WoodPickup","WoodStickShortPickup_C","5000.0","30","40","Highlands","3330.0","8550.0","4605.38916","lvl_quarry",
"[BP_spawner_wood_woodsStart]","WoodPickup","WoodStickShortPickup_C","4000.0","19","26","Woods Middle","-3680.0","-15470.0","540.0","lvl_quarry",
"[BP_spawner_exit]","HerbPickup","HerbPickup_C","6000.0","30","40","Exit","4160.0","-41410.0","1410.0","lvl_town_clinton",
"[BP_spawner_ore_rocks]","OrePickup","OrePickup_C","8000.0","35","40","Rocks","18580.0","-37850.0","422.970215","lvl_town_clinton",
"[BP_spawner_gem_mountains_mid]","GemPickup","GemPickupRed_C","6000.0","8","23","Mountains Mid","3100.0","3580.0","9071.405273","lvl_mountains",
"[BP_spawner_gems_mountains_mid_orange]","GemPickupOrange","GemPickupOrange_C","2000.0","5","8","","-3600.0","2010.0","6656.249023","lvl_mountains",
"[BP_spawner_herb_ground_back","Herbs","HerbPickup_C","5000.0","30","40","Ground Back","-33030.0","5490.0","-283.750916","lvl_mountains",
"[BP_spawner_mushroom_ground_back]","Mushrooms","mushroomPickup_C","5000.0","20","30","Mountain Start","-29610.0","-230.0","-267.578857","lvl_mountains",
"[BP_spawner_ore_ground_back]","OrePickup","OrePickup_C","2000.0","7","10","","8010.0","15930.0","1590.0","lvl_mountains",
"[BP_spawner_ore_mountains_mid]","OrePickup","OrePickup_C","4000.0","9","16","","2740.0","5070.0","9022.732422","lvl_mountains",
"[BP_spawner_ore_path_ground]","OrePickup","OrePickup_C","3000.0","9","17","Path on Ground","-17710.0","1560.0","1451.717773","lvl_mountains",
"[BP_spawner_ore_plateau_left_back]","Iron","OrePickup_C","3000.0","4","10","Plateau Left Back","-31950.0","-7600.0","460.93689","lvl_mountains",
"[BP_spawner_ore_Plateau_right_front]","OrePickup","OrePickup_C","3000.0","6","10","Plateau Right Back","-28970.0","8980.0","4640.0","lvl_mountains",
