---,object_type,tool_type,function
tree_axe,"tree","axe","chop"
stone_pick,"stone","pickaxe","mine"
pickup,"pickup","hand","pickup"
tree_pickaxe,"tree","pickaxe","get_bark"
farmplot_pickaxe,"farmplot","pickaxe","destroy_plot"
ground_hoe,"ground","hoe","create_farmplot"
item_hands,"dropped_item","hand","grab"
item_hammer,"dropped_item","hammer","grab"
item_axe,"dropped_item","axe","grab"
item_pickaxe,"dropped_item","pickaxe","grab"
item_hoe,"dropped_item","hoe","grab"
item_shovel,"dropped_item","shovel","grab"
item_fishing,"dropped_item","fishing_rod","grab"
farmplot_hand,"farmplot","hand","harvest"
farmplot_hoe,"farmplot","hoe","harvest"
farmplot_axe,"farmplot","axe","none"
tree_hammer,"tree","hammer","smash"
ground_pickaxe,"ground","pickaxe","none"
ground_shovel,"ground","shovel","dig"
ground_axe,"ground","axe","none"
water_fishing,"water","fishing_rod","fish"
ground_fishing,"ground","fishing_rod","none"
wood_axe,"built_item","axe","break"
npc_hand,"npc","hand","none"
npc_axe,"npc","axe","none"
npc_pickaxe,"npc","pickaxe","none"
npc_hammer,"npc","hammer","none"
npc_hoe,"npc","hoe","none"
npc_shovel,"npc","shovel","none"
