---,object_type,description,object_name_contains,drops_items_on_destroy
pickup,"pickup","anything that can be picked up by hand","Pickup_C_",""
farmplot,"farmplot","A farmable plot for crops","BP_Farmplot","(""dirt_mound"")"
npc,"npc","an NPC","NPC_char",""
player,"player","A player","InventoryPlayerCharacter",""
dropped_item,"dropped_item","A dropped item in the world","World_Actor",""
tree,"tree","Choppable tree","Fir_","(""wood_plank_oak"",""wood_stick"")"
stone,"stone","Mining stuff","rock","(""pickup_ore_basic"",""pickup_ore_basic"",""ore_copper"",""ore_iron"",""ore_gold"")"
ground,"ground","The Landscape","Landscape","(""dirt_mound"",""farm_grass"",""seed_blue"",""seed_green"",""seed_red"")"
water,"water","Fishable water","Water","(""fish_crab"")"
wood,"built_item","breakable structure","Wood","(""wood_plank_oak"",""wood_plank_pine"",""wood_plank_cedar"")"
tree_stump,"tree","breakable structure","Tree_Stump","(""wood_plank_oak"")"
