UE4_id,recipe_id,item_id,quantity,crafting_method_id
torch1,torch,stick,1,attach_misc
torch2,torch,sap,1,attach_misc
wood_plank1,wood_plank,wood,1,cut_saw
wood_plan_pine1,wood_plan_pine,wood_log_pine,2,cut_saw
wood_plan_oak1,wood_plan_oak,wood_log_oak,2,cut_saw
wood_plan_cedar1,wood_plan_cedar,wood_log_cedar,2,cut_saw
charcoal1,charcoal,wood,1,burn_flame
butter1,butter,milk,1,mix
bread1,bread,yeast,1,mix
bread2,bread,water,3,mix
bread3,bread,flour,5,mix
bread4,bread,oven,25,bake
biscuit1,biscuit,egg,2,mix
biscuit2,biscuit,milk,1,mix
biscuit3,biscuit,flour,3,mix
biscuit4,biscuit,oven,30,bake
chair_pine1,chair_pine,wood_plank_pine,8,attach_glue
chair_oak1,chair_oak,wood_plank_oak,8,attach_glue
chair_cedar1,chair_cedar,wood_plank_cedar,8,attach_glue
table_pine1,table_pine,wood_plank_pine,12,attach_screw
table_oak1,table_oak,wood_plank_oak,12,attach_screw
table_cedar1,table_cedar,wood_plank_cedar,12,attach_screw
shelf_pine1,shelf_pine,wood_plank_pine,6,attach_screw
shelf_oak1,shelf_oak,wood_plank_oak,6,attach_screw
shelf_cedar1,shelf_cedar,wood_plank_cedar,6,attach_screw
copper_bar1,copper_bar,copper_ore,2,smelt
iron_bar1,iron_bar,iron_ore,2,smelt
silver_bar1,silver_bar,silver_ore,2,smelt
gold_bar1,gold_bar,gold_ore,2,smelt
titanium_bar1,titanium_bar,titanium_ore,2,smelt
