function_id,function_area,function_subarea,function_desc

char_move_walk_forward,character,movement,character walks forward
char_move_walk_backward,character,movement,character walks backward
char_move_walk_left,character,movement,character walks left
char_move_walk_right,character,movement,character walks right
char_move_run_forward,character,movement,character runs forward
char_move_run_backward,character,movement,character runs backward
char_move_run_left,character,movement,character runs left
char_move_run_right,character,movement,character runs right
char_move_sneak_forward,character,movement,character sneaks forward
char_move_sneak_backward,character,movement,character sneaks backward
char_move_sneak_left,character,movement,character sneaks left
char_move_sneak_right,character,movement,character sneaks right
char_combat_attack_1,character,combat,character default attack
char_combat_attack_2,character,combat,character attack #2
char_combat_attack_3,character,combat,character attack #3
char_combat_attack_4,character,combat,character attack #4
char_combat_defend_1,character,combat,character default defence
char_combat_defend_2,character,combat,character defence #2
char_combat_defend_3,character,combat,character defence #3
char_combat_defend_4,character,combat,character defence #4
char_anim_dance,character,animation,Emote definition - You break into dance
char_anim_laugh,character,animation,Emote definition - You burst out laughing
char_anim_cry,character,animation,Emote definition - you cry
char_anim_stop,character,animation,Emote definition - Stop all emote animations
char_anim_pick,character,animation,Emote definition - Pick stuff from ground
char_anim_stretch,character,animation,Emote definition - Have a good stretch
char_anim_bow,character,animation,Emote definition - You bow down
char_anim_cheer,character,animation,Emote definition - You Cheer
char_anim_shrug,character,animation,Emote definition - You shrug
char_anim_exercise,character,animation,Emote definition - You do a quick work out
char_anim_gethere,character,animation,"Emote definition - Oi, get here right now!"
char_anim_look,character,animation,Emote definition - You look around
char_anim_No,character,animation,Emote definition - Just ... No
char_anim_salute,character,animation,Emote definition - You Salute with respect
char_anim_flex,character,animation,Emote definition - You flex your muscles like a BOSS
char_anim_sit,character,animation,Emote definition - You sit down
char_anim_work,character,animation,Emote definition - You do some work at the table
char_anim_sneeze,character,animation,Emote definition - You Sneeze - Achoo!
char_anim_drink,character,animation,Emote definition - You drink..... ahhhh
char_anim_take,character,animation,Emote definition - You take stuff from the table
char_anim_talk,character,animation,Emote definition - You chat about various things
char_anim_think,character,animation,Emote definition - You have a serious think
char_anim_throw,character,animation,Emote definition - you throw something - hope it wasnt important
char_anim_wash,character,animation,Emote definition - you wash the window
char_anim_wave,character,animation,Emote definition - You wave
char_anim_clap,character,animation,Emote definition - You clap!  Well done
char_anim_booyah,character,animation,Emote definition - Boo Yah!
char_anim_gimmebreak,character,animation,"Emote definition - Oh, give me a break"
char_anim_death,character,animation,Emote definition - You die
char_anim_crouch,character,animation,Emote definition - You crouch down
char_anim_sleep,character,animation,Emote definition - You lay down to sleep
char_anim_fight1,character,animation,Emote definition - You Attack with Meelee weapon
