wb_map_id,wb_map_area,wb_map_subarea,wb_map_desc
character,INFO,metadata,Metadata to describe characters or NPC's in the game
object,INFO,metadata,Metadata to describe items in the world
quest,INFO,metadata,Metadata to describe Quests or tasks to do in the world
env,INFO,metadata,"Metadata to describe environmental obects and effects (trees, rocks, light, weather)"
char_move_walk_forward,character,movement,character walks forward
char_move_walk_backward,character,movement,character walks backward
char_move_walk_left,character,movement,character walks left
char_move_walk_right,character,movement,character walks right
char_move_run_forward,character,movement,character runs forward
char_move_run_backward,character,movement,character runs backward
char_move_run_left,character,movement,character runs left
char_move_run_right,character,movement,character runs right
char_move_sneak_forward,character,movement,character sneaks forward
char_move_sneak_backward,character,movement,character sneaks backward
char_move_sneak_left,character,movement,character sneaks left
char_move_sneak_right,character,movement,character sneaks right
char_id,character,id,ID of the character or NPC
char_name,character,name,display name of a character
char_image_icon,character,image,image of character face for avatar
char_image_full,character,image,full size image of character
object_item_id,object,id,object ID of in game item
object_item_name,object,name,object name of in game item
object_image_icon,object,image,icon size image of item for bag and menu
object_image_full,object,image,full size image of item
env_location_vector,env,location,3D vector location in the environment
env_level_id,env,id,id of the level
env_level_name,env,name,name of the level (a level is a map 8x8 - 64x64)
env_level_image,env,image,small screenshot of the level to show on selection screen
env_level_image_map,env,image,top view showing map of the level
env_spawn_id,env,spawner,"spawner id (eg tree_fir, plant_daisy03,jungle_rock04)"
env_spawn_quant_min,env,spawner,minimum number of obects to spawn from this spawner
env_spawn_quant_max,env,spawner,maximum number of obects to spawn from this spawner
env_spawn_respawn_after_x_days,env,spawner,number of days before respawn (default 1 = respawn overnight)
char_anim_dance,character,animation,Emote definition - You break into dance
char_anim_laugh,character,animation,Emote definition - You burst out laughing
char_anim_cry,character,animation,Emote definition - you cry
char_anim_stop,character,animation,Emote definition - Stop all emote animations
char_anim_pick,character,animation,Emote definition - Pick stuff from ground
char_anim_stretch,character,animation,Emote definition - Have a good stretch
char_anim_bow,character,animation,Emote definition - You bow down
char_anim_cheer,character,animation,Emote definition - You Cheer
char_anim_shrug,character,animation,Emote definition - You shrug
char_anim_exercise,character,animation,Emote definition - You do a quick work out
char_anim_gethere,character,animation,"Emote definition - Oi, get here right now!"
char_anim_look,character,animation,Emote definition - You look around
char_anim_No,character,animation,Emote definition - Just ... No
