event_id,action_id,param,spawn_actor,desc
sunrise,light,+2,,increase light level
sunset,light,-2,,decrease light level
week_start,spawn_forage,5,,spawn new forage
week_end,remove_forage,5,,remove leftover forage
season_start,spawn_seasonal_forage,5,,spawn new forage
season_end,remove_seasonal_forage,5,,remove leftover forage
env_rain,spawm,3,niagra_rain,start rain
env_thunder,spawn,,niagra_thunder,start thunder
env_meteor,spawn,,meteor,spawn a meteor on the ground randomly
env_meteor,damage,200,fire,damage area around meteor
env_fog,spawn,4,niagra_fog,a fog rolls in
env_light_god_rays,light,god_ray,,call god ray light function
summer_storm,spawm,5,niagra_rain,start summer shower
autumn_storm,spawm,6,niagra_rain,start autumn shower
winter_storm,spawm,7,niagra_rain,start winter shower
winter_storm,light,-3,,decrease light in winter storm
