event_day_of_year,event_id,chance_occurring,min_duration_days,max_duration_days
1,spring,100,28,28
29,summer,100,28,28
57,autumn,100,28,28
85,winter,100,28,28
32,summer_storm,70,1,1
37,summer_storm,50,1,1
38,summer_storm,50,1,1
48,summer_storm,50,1,1
49,summer_storm,50,1,1
58,autumn_storm,50,1,1
59,autumn_storm,50,1,1
62,autumn_storm,50,1,1
88,winter_storm,50,1,1
89,winter_storm,50,1,1
95,winter_storm,80,1,1
110,christmas,100,1,1
17,birthday_jane,100,1,1
24,birthday_john,100,1,1
47,birthday_tim,100,1,1
77,birthday_mary,100,1,1
Any,storm,2,1,1
Any,meteor,1,1,1
