graph_depth,sort_order,node_id,parent_id,node_name,detail,full_path,prefix_for_child_nodes,unique_name,detail
1,1,root,,Root,Main root node,root,,root,
2,1,object,root,Object,"WHAT - any object, physical or virtual",root > object,o_,object,
2,2,process,root,Process,HOW - a process to do,root > process,p_,process,
2,3,event,root,Event,"WHEN something occurs - scheduled ETL jobs, key dates",root > event,e_,event,
2,4,actor,root,Actor,"WHO - a person, user, owner of running task",root > actor,a_,actor,
2,5,fact,root,Fact,"WHY - information such as filters, areas, descriptive details - to show reasons things are done",root > fact,f_,fact,
2,6,link,root,Link,"(glue) A Link or relationship between any ontology item (uses, updates, related)",root > link,l_,link,
3,1,project,process,Project,Project with one or many tasks,root > process > project,p_proj_,p_project,
3,1,task,process,Task,Task to do - either automated by PC or manual,root > process > task,p_task_,p_task_,
3,1,filter,fact,Filter,A Filter applied to data (usually from category),root > fact > filter,f_fltr_,f_filter,
3,2,reference,fact,Reference List,A list of information for reference files,root > fact > reference,f_ref_,f_reference,
3,2,information,fact,Information,"A piece of information - can be a word, sentence, paragraph",root > fact > information,f_info_,f_information,
3,2,program,process,Program,"run a program (any languange) on PC, phone or database",root > process > program,p_prog_,p_prog_,
3,2,database_table,object,Database table,Database table,root > object > database_table,o_tbl_,o_database_table,
3,3,url,object,"URL to Website, Folder or File","A link to a File, Folder or Website (UNC)",root > object > url,o_url_,o_url,
3,3,file,object,File,File on computer or phone,root > object > file,o_file_,o_file,
3,4,table_import,process,Database Import,Import data to table,root > process > table_import,p_imp_,p_table_import,
3,5,table_export,process,Database Export,Export data from table,root > process > table_export,p_exp_,p_table_export,
3,6,category,fact,Category,a list of categories to allow for filtering / grouping,root > fact > category,f_cat_,f_category,
4,7,countries,category,Countries,Country List,root > fact > category > country,f_cat_country_,f_cat_country,
5,8,country_names,countries,countries,Datase of Country Names,root > fact > category > country > names,f_cat_country_names_,f_cat_country_names,https://github.com/acutesoftware/rawdata/blob/master/rawdata/data/world/country.csv
5,9,Spain,countries,countries,Spain - Country,root > fact > category > country > spain,f_cat_country_spain_,f_cat_country_spain,
5,10,Japan,countries,countries,Japan - Country,root > fact > category > country > japan,f_cat_country_jp_,f_cat_country_japan,
4,20,colours,category,Colours,List of Colours,root > fact > category > colours,f_cat_colour_,f_cat_colours,
5,21,colour_red,colours,Red,Colour Red,root > fact > category > colour > red,f_cat_colour_red,f_cat_colour_red,
5,22,colour_green,colours,Green,Colour Green,root > fact > category > colour > green,f_cat_colour_green,f_cat_colour_green,
5,23,colour_blue,colours,Blue,Colour Blue,root > fact > category > colour > blue,f_cat_colour_blue,f_cat_colour_blue,
5,23,colour_yellow,colours,Yellow,Colour Yellow,root > fact > category > colour > yellow,f_cat_colour_yellow,f_cat_colour_yellow,
