Area,Job Name,Description
Business,Admin,
Business,Manager,
Business,Sales,needs grooming and social skills
Construction,Carpenter,build houses
Construction,Labourer,work on construction sites
Construction,Stone Mason,make and lay bricks
Craft,Artist,
Craft,Engineer,
Craft,Leatherworker,make jackets and armour
Craft,Mechanic,fix and build anything mechanical
Craft,Plastic Worker,
Craft,Steel worker,uses forge to make armour etc
Craft,Tailor,make clothes and bags
Craft,Wood Worker,fine woodworking
Food,Angler,
Food,Brewer,
Food,Cook,
Food,Diver,
Food,Farmer,
Food,Hunter,
Food,Wait Staff,
Health,Chemist,
Health,Doctor,
Health,Nurse,
Learning,Researcher,
Learning,Student,
Learning,Teacher,
Order,Guard,
Order,Police Officer,
Order,Soldier,
