---,Clothing Slot,Female Mesh,Male Mesh,Material Config,OpacityMask
Helmet_Great_Bascinet_(Rusted),"Head","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Hats/Medieval/GreatBascinet/SK_F_GreatBascinet.SK_F_GreatBascinet'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Hats/Medieval/GreatBascinet/SK_M_GreatBascinet_v2.SK_M_GreatBascinet_v2'","((""Metal"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Hats/Medieval/GreatBascinet/MI_Bascinet_Old.MI_Bascinet_Old""'))","None"
Helmet_Great_Bascinet_(Clean),"Head","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Hats/Medieval/GreatBascinet/SK_F_GreatBascinet.SK_F_GreatBascinet'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Hats/Medieval/GreatBascinet/SK_M_GreatBascinet_v2.SK_M_GreatBascinet_v2'","((""Metal"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Hats/Medieval/GreatBascinet/MI_Bascinet.MI_Bascinet""'))","None"
Helmet_Armet_(Rusted),"Head","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Hats/Medieval/Armet/SK_F_Helmet_Armet.SK_F_Helmet_Armet'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Hats/Medieval/Armet/SK_M_Helmet_Armet.SK_M_Helmet_Armet'","((""Metal"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Hats/Medieval/Armet/MI_Armet_Old.MI_Armet_Old""'))","None"
Helmet_Armet_(Clean),"Head","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Hats/Medieval/Armet/SK_F_Helmet_Armet.SK_F_Helmet_Armet'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Hats/Medieval/Armet/SK_M_Helmet_Armet.SK_M_Helmet_Armet'","((""Metal"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Hats/Medieval/Armet/MI_Armet.MI_Armet""'))","None"
KnightArmor_Chest_(Clean),"Upperbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/Medieval/Knight_Armor/SK_F_KnightArmor.SK_F_KnightArmor'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/Medieval/Knight_Armor/SK_M_KnightArmor.SK_M_KnightArmor'","((""Metal"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/Medieval/Knight_Armor/MI_KnightArmor_Base.MI_KnightArmor_Base""'),(""InnerCloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/Medieval/Plate_Armor/MI_Inner_Chainmail.MI_Inner_Chainmail""'),(""Skirt"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/Medieval/Knight_Armor/MI_Skirt_Torn.MI_Skirt_Torn""'),(""Cape"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/Medieval/Knight_Armor/MI_Cape_Torn.MI_Cape_Torn""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Upperbody.T_Mask_Upperbody'"
KnightArmor_Chest_(Rusted),"Upperbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/Medieval/Knight_Armor/SK_F_KnightArmor.SK_F_KnightArmor'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Top/Medieval/Knight_Armor/SK_M_KnightArmor.SK_M_KnightArmor'","((""Metal"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/Medieval/Knight_Armor/MI_KnightArmor_Old.MI_KnightArmor_Old""'),(""InnerCloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/Medieval/Plate_Armor/MI_Inner_Chainmail.MI_Inner_Chainmail""'),(""Skirt"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/Medieval/Knight_Armor/MI_Skirt_Torn.MI_Skirt_Torn""'),(""Cape"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/Medieval/Knight_Armor/MI_Cape_Torn.MI_Cape_Torn""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Upperbody.T_Mask_Upperbody'"
KnightArmor_Leggins_(Clean),"Lowerbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Bottom/Medieval/Knight_Armor/SK_F_KnightArmor_Lower.SK_F_KnightArmor_Lower'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Bottom/Medieval/Knight_Armor/SK_M_KnightArmor_Lower.SK_M_KnightArmor_Lower'","((""InnerCloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/Medieval/Plate_Armor/MI_Inner_Chainmail.MI_Inner_Chainmail""'),(""Metal"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/Medieval/Knight_Armor/MI_KnightArmor_Base.MI_KnightArmor_Base""'),(""Belt"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/Medieval/Plate_Armor/MI_Belt.MI_Belt""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Lowerbody_Full.T_Mask_Lowerbody_Full'"
KnightArmor_Leggins_(Rusted),"Lowerbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Bottom/Medieval/Knight_Armor/SK_F_KnightArmor_Lower.SK_F_KnightArmor_Lower'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Bottom/Medieval/Knight_Armor/SK_M_KnightArmor_Lower.SK_M_KnightArmor_Lower'","((""InnerCloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/Medieval/Plate_Armor/MI_Inner_Chainmail.MI_Inner_Chainmail""'),(""Metal"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/Medieval/Knight_Armor/MI_KnightArmor_Old.MI_KnightArmor_Old""'),(""Belt"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/Medieval/Plate_Armor/MI_Belt.MI_Belt""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Lowerbody_Full.T_Mask_Lowerbody_Full'"
PlateArmor_Leggins_(Clean),"Lowerbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Bottom/Medieval/Plate_Armor/SK_F_PlateArmor_Lower.SK_F_PlateArmor_Lower'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Bottom/Medieval/Plate_Armor/SK_M_PlateArmor_Lower.SK_M_PlateArmor_Lower'","((""InnerCloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/Medieval/Plate_Armor/MI_Inner_Chainmail.MI_Inner_Chainmail""'),(""Metal"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/Medieval/Plate_Armor/MI_PlateArmor_Clean.MI_PlateArmor_Clean""'),(""Belt"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/Medieval/Plate_Armor/MI_Belt.MI_Belt""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Lowerbody_Full.T_Mask_Lowerbody_Full'"
PlateArmor_Leggins_(Rusted),"Lowerbody","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Bottom/Medieval/Plate_Armor/SK_F_PlateArmor_Lower.SK_F_PlateArmor_Lower'","SkeletalMesh'/Game/UniversalCharacterSystem/Clothing/Final/Bottom/Medieval/Plate_Armor/SK_M_PlateArmor_Lower.SK_M_PlateArmor_Lower'","((""InnerCloth"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/Medieval/Plate_Armor/MI_Inner_Chainmail.MI_Inner_Chainmail""'),(""Metal"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/Medieval/Plate_Armor/MI_PlateArmor_Old.MI_PlateArmor_Old""'),(""Belt"", MaterialInstanceConstant'""/Game/UniversalCharacterSystem/Clothing/Final/Top/Medieval/Plate_Armor/MI_Belt.MI_Belt""'))","Texture2D'/Game/UniversalCharacterSystem/Materials_Textures/Skin/T_Mask_Lowerbody_Full.T_Mask_Lowerbody_Full'"
