---,build_group,static_mesh
1_1,"fant_vill_walls","StaticMesh'/Game/FantasyVillage/Meshes/SM_HouseWall6m02.SM_HouseWall6m02'"
1_2,"fant_vill_walls","StaticMesh'/Game/FantasyVillage/Meshes/SM_HouseWall6m03.SM_HouseWall6m03'"
1_3,"fant_vill_walls","StaticMesh'/Game/FantasyVillage/Meshes/SM_HouseWall6m04.SM_HouseWall6m04'"
1_4,"fant_vill_walls","StaticMesh'/Game/FantasyVillage/Meshes/SM_HouseWall6m01.SM_HouseWall6m01'"
1_5,"fant_vill_walls","StaticMesh'/Game/FantasyVillage/Meshes/SM_HouseWall3m08.SM_HouseWall3m08'"
1_6,"fant_vill_walls","StaticMesh'/Game/FantasyVillage/Meshes/SM_HouseWall3m07.SM_HouseWall3m07'"
1_7,"fant_vill_walls","StaticMesh'/Game/FantasyVillage/Meshes/SM_HouseWall3m06.SM_HouseWall3m06'"
1_8,"fant_vill_walls","StaticMesh'/Game/FantasyVillage/Meshes/SM_HouseWall3m05.SM_HouseWall3m05'"
1_9,"fant_vill_walls","StaticMesh'/Game/FantasyVillage/Meshes/SM_HouseWall3m04.SM_HouseWall3m04'"
1_10,"fant_vill_walls","StaticMesh'/Game/FantasyVillage/Meshes/SM_HouseWall3m03.SM_HouseWall3m03'"
1_11,"fant_vill_walls","StaticMesh'/Game/FantasyVillage/Meshes/SM_HouseWall3m02.SM_HouseWall3m02'"
1_12,"fant_vill_walls","StaticMesh'/Game/FantasyVillage/Meshes/SM_HouseWall3m01.SM_HouseWall3m01'"
2_1,"fant_vill_roof","StaticMesh'/Game/FantasyVillage/Meshes/SM_HouseRoof01.SM_HouseRoof01'"
2_2,"fant_vill_roof","StaticMesh'/Game/FantasyVillage/Meshes/SM_HouseRoof02.SM_HouseRoof02'"
2_3,"fant_vill_roof","StaticMesh'/Game/FantasyVillage/Meshes/SM_HouseRoof03.SM_HouseRoof03'"
2_4,"fant_vill_roof","StaticMesh'/Game/FantasyVillage/Meshes/SM_HouseRoof04.SM_HouseRoof04'"
2_5,"fant_vill_roof","StaticMesh'/Game/FantasyVillage/Meshes/SM_HouseRoof05.SM_HouseRoof05'"
