---,built_item_id,Built Item Name,level_required,icon,floorplan_img,SM_foundation_for_placing,building_size
fence_wood1,"fence_wood1","Wooden Fence","1","Texture2D'/Game/_DJM/Environment/outdoor_props/img_fence_wood_EW.img_fence_wood_EW'","Texture2D'/Game/_DJM/Environment/outdoor_props/img_fence_wood_EW.img_fence_wood_EW'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
fence_wood1NS,"fence_wood1NS","Wooden Fence - NS","1","Texture2D'/Game/_DJM/Environment/outdoor_props/img_fence_wood_NS.img_fence_wood_NS'","Texture2D'/Game/_DJM/Environment/outdoor_props/img_fence_wood_NS.img_fence_wood_NS'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
blt_shelf1,"blt_shelf1","Shelf Basic ","1","Texture2D'/Game/_DJM/crafting/building/houses/house_parts/img_blt_shelf_basic.img_blt_shelf_basic'","Texture2D'/Game/_DJM/crafting/building/houses/house_parts/img_blt_shelf_basic.img_blt_shelf_basic'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
light_campfire,"light_campfire","Campfire","1","Texture2D'/Game/_DJM/Environment/Textures/img_env_campfire.img_env_campfire'","Texture2D'/Game/_DJM/Environment/Textures/img_env_campfire.img_env_campfire'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
pole_in_ground,"pole_in_ground","Pole in ground","1","Texture2D'/Game/_DJM/crafting/woodwork/img_wood_log_oak.img_wood_log_oak'","Texture2D'/Game/_DJM/crafting/woodwork/img_wood_log_oak.img_wood_log_oak'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
light_lamp_table,"light_lamp_table","Table Lamp","3","Texture2D'/Game/_DJM/Environment/Textures/img_env_light_lamp_table.img_env_light_lamp_table'","Texture2D'/Game/_DJM/Environment/Textures/img_env_light_lamp_table.img_env_light_lamp_table'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
blt_house_1,"blt_house_1","House Basic Wood","10","Texture2D'/Game/_DJM/crafting/building/houses/T_img_house_small_wood.T_img_house_small_wood'","Texture2D'/Game/_DJM/crafting/building/houses/T_img_house_small_wood.T_img_house_small_wood'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
blt_house_tiny_1,"blt_house_tiny_1","House Tiny ","10","Texture2D'/Game/_DJM/crafting/building/houses/T_img_house_tiny_1.T_img_house_tiny_1'","Texture2D'/Game/_DJM/crafting/building/houses/T_img_house_tiny_1.T_img_house_tiny_1'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
blt_shop_1,"blt_shop_1","Shop Basic ","20","Texture2D'/Game/_DJM/crafting/building/houses/T_img_shop_small_stone.T_img_shop_small_stone'","Texture2D'/Game/_DJM/crafting/building/houses/T_img_shop_small_stone.T_img_shop_small_stone'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
blt_house_2,"blt_house_2","House Basic Stone","10","Texture2D'/Game/_DJM/crafting/building/houses/T_img_house_small_stone.T_img_house_small_stone'","Texture2D'/Game/_DJM/crafting/building/houses/T_img_house_small_stone.T_img_house_small_stone'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
blt_house_med_wood_1,"blt_house_med_wood_1","Medium Wooden House","10","Texture2D'/Game/_DJM/crafting/building/houses/T_img_house_med_wood_1.T_img_house_med_wood_1'","Texture2D'/Game/_DJM/crafting/building/houses/T_img_house_med_wood_1.T_img_house_med_wood_1'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
blt_house_med_stone_1,"blt_house_med_stone_1","Medium Stone House 1","10","Texture2D'/Game/_DJM/crafting/building/houses/T_img_house_med_stone_1.T_img_house_med_stone_1'","Texture2D'/Game/_DJM/crafting/building/houses/T_img_house_med_stone_1.T_img_house_med_stone_1'","StaticMesh'/Engine/EditorMeshes/AssetViewer/Floor_Mesh.Floor_Mesh'","(X=0.000000,Y=0.000000,Z=0.000000)"
