---,built_item_part_id,built_item_id,bp_class_to_spawn,location,rotation,scale,StaticMesh_if_not_BP
campfire1,"campfire1","light_campfire","BlueprintGeneratedClass'/Game/_DJM/Environment/lights/BP_campfire.BP_campfire_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
bonfire1,"bonfire1","light_bonfire","BlueprintGeneratedClass'/Game/_DJM/Environment/lights/BP_campfireBIG.BP_campfireBIG_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
house_1_frame,"house_1_frame","blt_house_1","BlueprintGeneratedClass'/Game/_DJM/crafting/building/houses/BP_House_Small_Wood.BP_House_Small_Wood_C'","(X=0.000000,Y=0.000000,Z=-20.000000)","(Pitch=0.000000,Yaw=-180.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
house_2_frame,"house_2_frame","blt_house_2","BlueprintGeneratedClass'/Game/_DJM/crafting/building/houses/BP_House_Small_Stone.BP_House_Small_Stone_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=-180.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
shop_1_frame,"shop_1_frame","blt_shop_1","BlueprintGeneratedClass'/Game/_DJM/crafting/building/houses/BP_Shop_Base.BP_Shop_Base_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
blt_shelf1_1,"blt_shelf1_1","blt_shelf1","Class'/Script/Engine.StaticMeshActor'","(X=0.000000,Y=0.000000,Z=200.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","StaticMesh'/Game/_DJM/crafting/woodwork/SM_wood_plank_cedar.SM_wood_plank_cedar'"
house_med_wood_1_frame,"house_med_wood_1_frame","blt_house_med_wood_1","BlueprintGeneratedClass'/Game/_DJM/crafting/building/houses/BP_House_Med_Wood_1.BP_House_Med_Wood_1_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=-180.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
house_med_stone_1_frame,"house_med_frame_1","blt_house_med_stone_1","BlueprintGeneratedClass'/Game/_DJM/crafting/building/houses/BP_House_Med_Stone_1.BP_House_Med_Stone_1_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=-180.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
house_med_wood_2_frame,"house_med_wood_2_frame","blt_house_med_wood_2","BlueprintGeneratedClass'/Game/_DJM/crafting/building/houses/BP_House_Med_Wood_2.BP_House_Med_Wood_2_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=-180.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
house_big_wood_1_frame,"house_big_wood_1_frame","blt_house_big_wood_1","BlueprintGeneratedClass'/Game/_DJM/crafting/building/houses/BP_House_BIG_Wood_1.BP_House_BIG_Wood_1_C'","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=-180.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","None"
