---,type,id_contains_string,show_on_build_menu
NewRow,"Tree","(""plant_tree_"")","True"
NewRow_0,"Lights","(""light_"")","True"
NewRow_11,"Effects","(""env_effects_"")","True"
NewRow_1,"Farm","(""farm_"")","True"
NewRow_2,"Plant","(""plant_"")","True"
NewRow_3,"Fence","(""fence_"")","True"
NewRow_4,"House","(""house_"")","True"
NewRow_5,"Castle","(""castle_"")","True"
NewRow_6,"Chests","(""chest_"")","True"
NewRow_7,"Animal","(""animal_"")","True"
NewRow_8,"Parts","(""part_"")","True"
NewRow_9,"Rock","(""rock_"")","True"
NewRow_10,"Workstations","(""_station_"")","True"
NewRow_12,"USER_BUILT","("".csv"")","True"
