---,craft_method_id,craft_action,base_time,base_cost,tools_required,consumables_required,skill_areas
mix,"mix","Mix in a bowl","5","0","bowl|stick","","cooking"
hammer,"hammer","Hit with Hammer","1","1","hammer","","building"
melt_pot,"melt_pot","Melt in a pot","5","2","melting_pot","","crafting"
burn_flame,"burn_flame","Burn with fire","2","0","flame","","crafting"
smelt,"smelt","Smelt","2","0","smelter","wood","smelting"
cut_saw,"cut_saw","Cut with a saw","2","0","saw","","woodwork"
attach_nail,"attach_nail","Nail items together","1","1","hammer","nail","woodwork"
attach_screw,"attach_screw","Screw items together","1","1","screw_driver","screw","woodwork"
attach_string,"attach_string","Tie items together with string","1","1","","string","crafting"
attach_glue,"attach_glue","Glue items together","1","1","","glue","crafting"
attach_misc,"attach_misc","Attach the items together","0","0","","","crafting"
bake,"bake","Bake in the oven","1","0","oven","wood","cooking"
