---,achievement_id,ach_name,ach_desc,ach_perks,ach_requirements
login,"login","Login","You Logged in","Nothing","Login"
herb01,"herb01","Pick a Herb","You found a herb!","Nothing","Get one herb"
forage01,"forage01","Free Mushroom","You found some Forage","",""
miner01,"miner01","Pick some Ore","You found a piece of Ore","",""
chat01,"chat01","Say Something","Use the Chat or command line to say something","",""
animal01,"animal01","Boop!","You patted an Animal","",""
level1,"level1","Level Up - First time","Level up to Level 1","",""
level2,"level2","Level 2","Make it to Level 2","",""
level5,"level5","Level 5","Make it to Level 5","",""
level10,"level10","Level 10","Make it to Level 10","",""
fish1,"fish1","Catch a Fish","Fish up a Fish","",""
fish5,"fish5","Catch 5 Fish","Catch 5 Fish with a fishing pole","",""
fish10,"fish10","Catch 10 Fish","Catch 10 Fish with a fishing pole","",""
fish_rare,"fish_rare","Catch a Rare Fish","Catch a Rare Fish with a fishing pole","",""
fish_epic,"fish_epic","Catch an Epic Fish","Catch an Epic Fish with a fishing pole","",""
farm_hoe1,"farm_hoe1","Hoe a patch of dirt","Till some soil ready for planting","",""
farm_plant1,"farm_plant1","Plant a Seed","Plant a seed on a farm plot","",""
farm_harvest1,"farm_harvest1","Harvest a Farm plot","Harvest 1 farm plot","",""
picker01,"picker01","Pick some Fruit","Pick an Apple - FREE FOOD","",""
photo1,"photo1","Take a Photo","Use the Camera to take a photo","",""
photo100,"photo100","Take 100 Photos","Use the Camera to take 100 photos","",""
photo_cat,"photo_Cat","Take a Photo of a Cat","Use the Camera to take a photo of a Cat","",""
photo_dog,"photo_Dog","Take a Photo of a Dog","Use the Camera to take a photo of a Dog","",""
photo_chicken,"photo_Chicken","Take a Photo of a Chicken","Use the Camera to take a photo of a Chicken","",""
photo_baby_chicken,"photo_Baby_Chicken","Take a Photo of a Baby Chicken","Use the Camera to take a photo of a Baby Chicken","",""
photo_cow,"photo_Cow","Take a Photo of a Cow","Use the Camera to take a photo of a Cow","",""
photo_wolf,"photo_Wolf","Take a Photo of a Wolf","Use the Camera to take a photo of a Wolf","",""
photo_goat,"photo_Goat","Take a Photo of a Goat","Use the Camera to take a photo of a Goat","",""
photo_duck,"photo_Duck","Take a Photo of a Duck","Use the Camera to take a photo of a Duck","",""
photo_duck_fly,"photo_Duck_fly","Take a Photo of a flying Duck","Use the Camera to take a photo of a flying Duck","",""
gem01,"gem01","Gem Finder","You found a Gem","",""
shell01,"shell01","Find a Shell","Find an uncommon shell","",""
snail01,"snail01","Find a Snail","You found a snail","",""
scorpion01,"scorpion01","Find a Scorpion","You found a scorpion","",""
wood01,"wood01","Got Wood","You got some wood","craft_wood01",""
hardwood01,"hardwood01","Hot Wood","You got hot hardwood","craft_wood05",""
seaweed01,"seaweed01","I See Seaweed","You found some Seaweed","",""
