---,item_id,drop_chance,locations_avail,water_types_avail,actor_class_for_spawning,avg_size,avg_speed,bait
fish_pike,"fish_pike","0.100000","(forest,woods,grassland)","(river,ocean)","BlueprintGeneratedClass'/Game/_DJM/InventorySystem/Items/Blueprints/fish_pike.fish_pike_C'","6","6","(insect,worm,fish,plant)"
fish_salmon,"fish_salmon","0.200000","(mountain,HUMAN_BUILT)","(river,beach)","BlueprintGeneratedClass'/Game/_DJM/InventorySystem/Items/Blueprints/fish_salmon.fish_salmon_C'","5","6","(insect,worm,fish)"
fish_frog_brown,"fish_frog_brown","0.100000","(scrub,grassland,swamp)","(river,lake)","BlueprintGeneratedClass'/Game/_DJM/InventorySystem/Items/Blueprints/fish_frog_brown.fish_frog_brown_C'","1","2","(insect)"
food_apple,"food_apple","0.100000","(forest,HUMAN_BUILT)","(river,lake,ocean)","BlueprintGeneratedClass'/Game/_DJM/InventorySystem/Items/Blueprints/Food_Apple.Food_Apple_C'","1","0","(insect,worm,fish,plant)"
fish_crab,"fish_crab","0.100000","(tundra,HUMAN_BUILT,jungle)","(river,lake)","BlueprintGeneratedClass'/Game/_DJM/InventorySystem/Items/Blueprints/fish_crab.fish_crab_C'","1","2","(insect,worm,fish,plant)"
fish_mackeral,"fish_mackeral","0.100000","(grassland)","(river,lake,ocean)","BlueprintGeneratedClass'/Game/_DJM/InventorySystem/Items/Blueprints/fish_mackeral.fish_mackeral_C'","6","6","(insect,worm,fish,plant)"
fish_octopus,"fish_octopus","0.100000","(HUMAN_BUILT,forest)","(ocean)","BlueprintGeneratedClass'/Game/_DJM/InventorySystem/Items/Blueprints/fish_octopus.fish_octopus_C'","2","4","(fish)"
fish_perch,"fish_perch","0.100000","(forest,woods,HUMAN_BUILT,grassland)","(river,lake,ocean)","BlueprintGeneratedClass'/Game/_DJM/InventorySystem/Items/Blueprints/fish_perch.fish_perch_C'","5","4","(insect,worm,fish,plant)"
fish_red_eye,"fish_red_eye","0.100000","(desert)","(river,lake,ocean)","BlueprintGeneratedClass'/Game/_DJM/InventorySystem/Items/Blueprints/fish_red_eye.fish_red_eye_C'","3","5","(insect,worm,fish,plant)"
fish_shark,"fish_shark","0.100000","(HUMAN_BUILT)","(ocean)","BlueprintGeneratedClass'/Game/_DJM/InventorySystem/Items/Blueprints/fish_shark.fish_shark_C'","9","7","(fish,meat)"
shell_scallop,"shell_scallop","0.100000","(scrub,forest,woods)","(ocean)","BlueprintGeneratedClass'/Game/_DJM/crafting/pickups/ShellPickupScallop.ShellPickupScallop_C'","1","0","(plant)"
animal_snail,"animal_snail","0.100000","(grassland,woods,jungle,swamp)","(lake,river)","BlueprintGeneratedClass'/Game/_DJM/crafting/pickups/SnailPickup.SnailPickup_C'","1","0","(plant)"
fish_perch_jungle,"fish_perch_jungle","0.200000","(jungle)","(river,lake,ocean)","BlueprintGeneratedClass'/Game/_DJM/InventorySystem/Items/Blueprints/fish_perch_jungle.fish_perch_jungle_C'","5","4","(insect,worm,fish,plant)"
fish_crab_blue,"fish_crab_blue","0.100000","(swamp,HUMAN_BUILT,forest,woods)","(ocean)","BlueprintGeneratedClass'/Game/_DJM/InventorySystem/Items/Blueprints/fish_crab_blue.fish_crab_blue_C'","1","2","(insect,worm,fish,plant)"
fish_frog,"fish_frog","0.100000","(grassland,woods,forest)","(river,lake)","BlueprintGeneratedClass'/Game/_DJM/InventorySystem/Items/Blueprints/fish_frog.fish_frog_C'","1","2","(insect)"
fish_frog_red,"fish_frog_red","0.100000","(jungle,mountain,swamp)","(river,lake)","BlueprintGeneratedClass'/Game/_DJM/InventorySystem/Items/Blueprints/fish_frog_red.fish_frog_red_C'","1","2","(insect)"
