---,NPC_ID,Name,UCS_Preset,Clothes,SpawnLand,SpawnLocation,is_active,is_shop,sound_welcome,sound_bye,text_welcome,text_bye,animSeqBaseWelcome
jane,"jane","Jane the Tailor","Female_Blonde_A","","lvl_quarry","(X=8180.000000,Y=-22095.000000,Z=188.432312)","True","True","SoundCue'/Game/_DJM/sounds/voice_female_a_laugh_10_Cue.voice_female_a_laugh_10_Cue'","None","Welcome to the Game - look around and have fun","Bye for now","AnimSequence'/Game/_DJM/chat/Animations/TOK/Anim_Talking_1.Anim_Talking_1'"
jim,"jim","Jim the Farmer","Male_Glasses","","lvl_quarry","(X=7890.000000,Y=-16120.000000,Z=70.000000)","True","False","SoundCue'/Game/_DJM/sounds/voice_male_c_laugh_01_short_01_Cue.voice_male_c_laugh_01_short_01_Cue'","None","Hi - I am a farmer - I farm things","Farewell","AnimSequence'/Game/_DJM/chat/Animations/TOK/Anim_Wave_1.Anim_Wave_1'"
jill,"jill","Jill the Woodworker","Female_Blonde_C","","lvl_quarry","(X=-1480.000000,Y=-19060.000000,Z=186.000000)","True","False","SoundCue'/Game/_DJM/sounds/voice_female_a_laugh_06_Cue.voice_female_a_laugh_06_Cue'","None","Hello and welcome to my little shop","Thank you for shopping here","AnimSequence'/Game/_DJM/chat/Animations/TOK/Anim_Look_Around.Anim_Look_Around'"
josh,"josh","Josh the Angler","Male_Viking","","lvl_quarry","(X=7100.189453,Y=-21870.000000,Z=169.028107)","True","False","SoundCue'/Game/_DJM/sounds/voice_male_c_laugh_01_short_01_Cue.voice_male_c_laugh_01_short_01_Cue'","SoundCue'/Game/_DJM/djmAnimals/Sounds/djm_chicken_bukark.djm_chicken_bukark'","WAZZUP","TOODLES","AnimSequence'/Game/_DJM/chat/Animations/TOK/Anim_Show_Bicep.Anim_Show_Bicep'"
jack,"jack","Jack the Cook","Male_LongHair","","lvl_quarry","(X=5430.000000,Y=-19560.000000,Z=547.125977)","True","False","None","None","Hello - I am Jack, and I like Mushrooms","Goodbye - dont forget the mushrooms","AnimSequence'/Game/_DJM/chat/Animations/TOK/Anim_Wave_1.Anim_Wave_1'"
dugr,"dugr","Dugr the Miner","Female_Brunette_A","","lvl_quarry","(X=7270.000000,Y=-20650.000000,Z=186.250183)","True","False","None","None","Hi - I like to mine things","Goodbye","AnimSequence'/Game/_DJM/chat/Animations/TOK/Anim_Talking_1.Anim_Talking_1'"
twiggy,"twiggy","Twiggy the Herbalist","Female_Old_A","","lvl_quarry","(X=6045.000000,Y=-21830.000000,Z=300.886566)","True","False","None","None","Hello - I use herbs to make things. Find some and I can pay you","Bye Bye - dont let the termites bite","AnimSequence'/Game/_DJM/chat/Animations/TOK/Anim_Wave_1.Anim_Wave_1'"
sard,"sard","Sard","Male_Viking","","lvl_mountains","(X=-28390.000000,Y=-2780.000000,Z=-435.156982)","True","False","SoundCue'/Game/_DJM/sounds/voice_male_c_laugh_01_short_01_Cue.voice_male_c_laugh_01_short_01_Cue'","SoundCue'/Game/_DJM/z_ext_marketplace/Magic_MeleeSounds/Air/Explosion/Mono/C_Air_Explosion_2_M_Cue.C_Air_Explosion_2_M_Cue'","Welcome to the Mountains","farewell","AnimSequence'/Game/_DJM/chat/Animations/TOK/Anim_Wave_1.Anim_Wave_1'"
slikrup,"slikrup","Slikrup","Male_Default","","lvl_mountains","(X=-28310.000000,Y=4390.000000,Z=-389.766052)","True","False","SoundCue'/Game/_DJM/sounds/voice_male_c_laugh_01_short_01_Cue.voice_male_c_laugh_01_short_01_Cue'","SoundCue'/Game/_DJM/achievements/achievement.achievement'","Be on the lookout for rare gems up in the mountains","","AnimSequence'/Game/_DJM/chat/Animations/TOK/Anim_Look_Around.Anim_Look_Around'"
mynal,"mynal","Mynal","Male_Old_A_Hurt","","lvl_quarry","(X=2960.000000,Y=-7580.000000,Z=2300.000000)","True","False","SoundCue'/Game/_DJM/sounds/voice_male_c_laugh_01_short_01_Cue.voice_male_c_laugh_01_short_01_Cue'","None","What brings you deep into my home?","","None"
larnil,"larnil","Larnil the Shopkeeper","Female_Default","","lvl_town","(X=-2680.000000,Y=-1750.000000,Z=930.000000)","True","True","None","None","Welcome to my shop","","AnimSequence'/Game/_DJM/chat/Animations/TOK/Anim_Wave_1.Anim_Wave_1'"
andy,"andy","Andy the Apple Seller","Male_Glasses","","lvl_draeton","(X=-420.000000,Y=3570.000000,Z=2390.000000)","True","False","SoundCue'/Game/Ultimate_SFX_Bundle/Hero_Voice_Jack/Cues/welcome_Cue.welcome_Cue'","None","Want to buy some Fruit or veges?","","AnimSequence'/Game/_DJM/character/Generic/Anim_Idle_4.Anim_Idle_4'"
cynthia_goldworth,"cynthia_goldworth","Cynthia Goldworth","Female_Blonde_B","","lvl_draeton","(X=-2690.000000,Y=4500.000000,Z=2430.000000)","True","False","SoundCue'/Game/Ultimate_SFX_Bundle/Hero_Voice_Amy/Cues/Welcome_Cue.Welcome_Cue'","None","Hi","bye","AnimMontage'/Game/_DJM/character/Generic/Anim_Idle_3_Montage.Anim_Idle_3_Montage'"
sarl_winkler,"sarl_winkler","Sarl Winkler","Male_Viking","","lvl_draeton","(X=3140.000000,Y=7040.000000,Z=2360.000000)","True","False","SoundCue'/Game/Ultimate_SFX_Bundle/Hero_Voice_Jack/Cues/stop__Cue.stop__Cue'","None","You cant come into the towe","","AnimSequence'/Game/_DJM/character/Animations/Magic/standing_idle.standing_idle'"
dusty_walton,"dusty_walton","Dusty Walton","Female_Old_B","","lvl_desert","(X=2310.000000,Y=-1530.000000,Z=135.094345)","True","True","SoundCue'/Game/Ultimate_SFX_Bundle/Casual_Bundle/Casual_Game_Announcer/Cues/Hello_3_Cue.Hello_3_Cue'","None","","","None"
zombie_leah,"zombie_leah","Zombie Leah","monster_a","","lvl_desert","(X=-5000.000000,Y=5130.000000,Z=342.829376)","True","True","SoundCue'/Game/Ultimate_SFX_Bundle/Casual_Bundle/Casual_Game_Announcer/Cues/Hello_3_Cue.Hello_3_Cue'","None","","","None"
konji,"konji","Konji","Male_Viking","","lvl_mountains","(X=31683.943359,Y=-12550.000000,Z=6869.631836)","True","True","SoundCue'/Game/Ultimate_SFX_Bundle/Casual_Bundle/Casual_Game_Announcer/Cues/Welcome_Cue.Welcome_Cue'","None","Hello","","AnimSequence'/Game/_DJM/chat/Animations/TOK/Anim_Wave_1.Anim_Wave_1'"
