---,object_type,description,object_name_contains,drops_items_on_destroy
pickup,"pickup","anything that can be picked up by hand","Pickup_C_",""
farmplot,"farmplot","A farmable plot for crops","BP_Farmplot","(""dirt_mound"")"
npc,"npc","an NPC","NPC_char",""
player,"player","A player","InventoryPlayerCharacter",""
dropped_item,"dropped_item","A dropped item in the world","World_Actor",""
BP_tree,"BP_tree","choppable tree blueprint","BP_Tree","(""wood_plank_cedar"",""wood_plank_cedar"",""wood_plank_cedar"",""tree_sap"",""wood_plank_cedar"",""wood_plank_cedar"",""wood_plank_cedar"")"
tree,"tree","Choppable tree","Fir_","(""wood_plank_oak"",""wood_plank_oak"",""wood_stick"",""tree_sap"")"
stone,"stone","Mining stuff","rock","(""pickup_ore_basic"",""pickup_ore_basic"",""ore_copper"",""ore_iron"",""ore_gold"")"
ground,"ground","The Landscape","Landscape","(""dirt_mound"",""farm_grass"",""seed_blue"",""seed_green"",""seed_red"")"
water,"water","Fishable water","Water","(""fish_crab"")"
wood,"built_item","breakable structure","Wood","(""wood_plank_pine"")"
tree_stump,"tree","breakable structure","Tree_Stump","(""wood_plank_oak"",""wood_plank_oak"")"
tree_poplar,"tree","Choppable tree","Poplar_","(""wood_plank_cedar"",""wood_plank_cedar"",""wood_plank_cedar"",""tree_sap"")"
tree_misc,"tree","Choppable tree","Tree_","(""wood_plank_pine"",""wood_plank_pine"",""wood_plank_pine"",""tree_sap"")"
station,"station","station or workbench","BP_Station",""
bed,"bed","A place to sleep","BP_Bed","(""fun_bed_single"")"
