---,area,stat_id,item_id_if_applicable,description,measure_method
1,"pickups","pickup_ore_basic","pickup_ore_basic","Totals ores obtained from Mining","count of all items"
2,"pickups","pickup_herb_basic","pickup_herb_basic","Totals herbs obtained from herbalism","count of all items"
3,"pickups","pickup_mushroom_basic","pickup_mushroom_basic","Totals Mushrooms found","count of all items"
4,"pickups","pickup_apple_basic","pickup_apple_basic","Total Apples found","count of all items"
5,"pickups","pickup_gem_red","pickup_gem_red","Red Gems found","count of all items"
6,"pickups","pickup_gem_orange","pickup_gem_orange","Orange Gems found","count of all items"
7,"pickups","pickup_gem_white","pickup_gem_white","White Gems found","count of all items"
8,"fishing","fish_caught","None","Total Fish Caught","count of all items"
9,"character","total_gems_found","None","Total Gems found","count of all items"
10,"character","total_items_gathered","None","Total Items Gathered","count of all items gathered"
11,"character","total_recipes_learned","None","Total Recipes Learned","count of all items"
12,"character","total_items_crafted","None","Total Items Crafted","count of all items"
