---,Name,Description,category,isLoop,Cue,fadeInRate,fadeOutRate
birds01,"birds01","Bird sound v1","animal","True","SoundCue'/Game/_DJM/z_ext_marketplace/Ducks/Demo_Content/Audio/Starter_Birds01_Cue.Starter_Birds01_Cue'","0.000000","0.000000"
music_elven_harmony,"music_elven_harmony","Elven Harmony","music","False","SoundCue'/Game/_DJM/sounds/FantasyOrchestral/ElvenHarmonies.ElvenHarmonies'","0.000000","0.000000"
earth_explosion2,"earth_explosion2","C_Earth_Explosion_2_S_Cue","fight","False","SoundCue'/Game/_DJM/sounds/C_Earth_Explosion_2_S_Cue.C_Earth_Explosion_2_S_Cue'","0.000000","0.000000"
evil_dark_hit2,"evil_dark_hit2","C_EvilDark_Hit_2_S_Cue","fight","False","SoundCue'/Game/_DJM/sounds/C_EvilDark_Hit_2_S_Cue.C_EvilDark_Hit_2_S_Cue'","0.000000","0.000000"
achievement_unlocked,"achievement_unlocked","Achievement Unlocked","character","False","SoundCue'/Game/_DJM/sounds/char/Win_sound_14_Cue.Win_sound_14_Cue'","0.000000","0.000000"
level_up,"level_up","Level Up","character","False","SoundCue'/Game/_DJM/sounds/sfx_advance_tone06_Cue.sfx_advance_tone06_Cue'","0.000000","0.000000"
char_die_F,"char_die_F","Female Character Dies","character","False","SoundCue'/Game/_DJM/z_ext_marketplace/HumanVocalizations/HumanFemaleB/Cues/voice_female_b_death_10_Cue.voice_female_b_death_10_Cue'","0.000000","0.000000"
char_die_M,"char_die_M","Male Character Dies","character","False","SoundCue'/Game/_DJM/z_ext_marketplace/HumanVocalizations/HumanMaleA/Cues/voice_male_grunt_pain_death_01_Cue.voice_male_grunt_pain_death_01_Cue'","0.000000","0.000000"
pickup_herb,"pickup_herb","Pickup Herb","pickup","False","SoundCue'/Game/_DJM/sounds/pickup_Herb_Cue.pickup_Herb_Cue'","0.000000","0.000000"
pickup_ore,"pickup_ore","Pickup Ore","pickup","False","SoundCue'/Game/_DJM/sounds/pickup_ore_Cue.pickup_ore_Cue'","0.000000","0.000000"
pickup_wood,"pickup_wood","Pickup Wood","pickup","False","SoundCue'/Game/_DJM/sounds/crafting/cooking_chopping_2_Cue.cooking_chopping_2_Cue'","0.000000","0.000000"
pickup_apple,"pickup_apple","Pickup Apple","pickup","False","SoundCue'/Game/_DJM/sounds/pickup_Herb_Cue.pickup_Herb_Cue'","0.000000","0.000000"
pickup_forage,"pickup_forage","Pickup Forage","pickup","False","SoundCue'/Game/_DJM/sounds/pickup_Herb_Cue.pickup_Herb_Cue'","0.000000","0.000000"
pickup_gem,"pickup_gem","Pickup Gem","pickup","False","SoundCue'/Game/_DJM/sounds/pickup_ore_Cue.pickup_ore_Cue'","0.000000","0.000000"
pickup_coin,"pickup_coin","Pickup Coin","pickup","False","SoundCue'/Game/_DJM/sounds/PM_JCS__Coin_Drop_Into_Jar_253_Cue.PM_JCS__Coin_Drop_Into_Jar_253_Cue'","0.000000","0.000000"
animal_cow_1,"animal_cow_1","Cow 1","animal","False","SoundCue'/Game/_DJM/sounds/FarmAnimalSounds/Cow_01_Cue.Cow_01_Cue'","0.000000","0.000000"
animal_cow_2,"animal_cow_2","Cow 2","animal","False","SoundCue'/Game/_DJM/sounds/FarmAnimalSounds/Cow_13_Cue.Cow_13_Cue'","0.000000","0.000000"
animal_cow_3,"animal_cow_3","Cow 3","animal","False","SoundCue'/Game/_DJM/sounds/FarmAnimalSounds/Cow_07_Cue.Cow_07_Cue'","0.000000","0.000000"
animal_pig_1,"animal_pig_1","Pig 1","animal","False","SoundCue'/Game/_DJM/sounds/FarmAnimalSounds/Pig_Snort_03_Cue.Pig_Snort_03_Cue'","0.000000","0.000000"
animal_pig_2,"animal_pig_2","Pig 2","animal","False","SoundCue'/Game/_DJM/sounds/FarmAnimalSounds/Pig_Squeel_01_Cue.Pig_Squeel_01_Cue'","0.000000","0.000000"
animal_pig_3,"animal_pig_3","Pig 3","animal","False","SoundCue'/Game/_DJM/sounds/FarmAnimalSounds/Pig_Squeel_07_Cue.Pig_Squeel_07_Cue'","0.000000","0.000000"
animal_sheep_1,"animal_sheep_1","Sheep 1","animal","False","SoundCue'/Game/_DJM/sounds/FarmAnimalSounds/Sheep_01_Cue.Sheep_01_Cue'","0.000000","0.000000"
animal_sheep_2,"animal_sheep_2","Sheep 2","animal","False","SoundCue'/Game/_DJM/sounds/FarmAnimalSounds/Sheep_07_Cue.Sheep_07_Cue'","0.000000","0.000000"
