---,attribute,abbreviation,description
NewRow,"Strength","STR","affects bag carry weight, chopping and mining speed"
NewRow_0,"Stamina","STA","affects max energy"
NewRow_1,"Constitution","CON","affects energy regneration"
NewRow_2,"Agility","AGI","affects building quality and speed"
NewRow_3,"Intellect","INT","affects max mana pool"
NewRow_4,"Wisdom","WIS","affects Mana usage"
NewRow_5,"Perception","PER","affects ability to see forage from distance, detects traps and enemies"
NewRow_6,"Magic","MAG","Magic / Faith / Attunement - affects spell learning"
NewRow_7,"Charisma","CHA","Charisma - lower buy prices, faster relationships"
NewRow_8,"Love","Love / Kindness","affects ability to tame animals, better relationships (lowered by Hunting)"
