---,profession_id,skill_id,base_required_level
NewRow,"Carpenter","crafting","1"
NewRow_0,"Carpenter","woodworking","1"
NewRow_1,"Stone Mason","mining","1"
NewRow_2,"Artist","artist","1"
NewRow_3,"Engineer","engineering","1"
NewRow_4,"Leatherworker","leatherworking","1"
NewRow_5,"Mechanic","mechanic","1"
NewRow_6,"Plastic Worker","artist","1"
NewRow_7,"Steel Worker","blacksmith","1"
NewRow_8,"Tailor","artist_designer_clothes","1"
NewRow_9,"Tailor","tailoring","1"
NewRow_10,"Wood Worker","woodworking","1"
NewRow_11,"Angler","fishing","1"
NewRow_12,"Brewer","brewing","1"
NewRow_13,"Cook","cooking","1"
NewRow_14,"Diver","diving","1"
NewRow_15,"Farmer","farming","1"
NewRow_16,"Hunter","hunting","1"
NewRow_17,"Wait Staff","social","1"
NewRow_18,"Forager","gathering","1"
NewRow_19,"Herbalist","gathering_herb","1"
NewRow_20,"Miner","gathering_ore","1"
NewRow_21,"Logger","gathering_wood","1"
NewRow_22,"Potter","artist_pottery","1"
