---,Profession,Area,Description,available
1_0,"Admin","Business","","False"
1_1,"Manager","Business","","False"
1_2,"Sales","Business","","False"
1_3,"Carpenter","Construction","","True"
1_4,"Labourer","Construction","","True"
1_5,"Stone Mason","Construction","","True"
1_6,"Artist","Crafting","","False"
1_7,"Engineer","Crafting","","False"
1_8,"Leatherworker","Crafting","","True"
1_9,"Mechanic","Crafting","","False"
1_10,"Plastic Worker","Crafting","","False"
1_11,"Steel Worker","Crafting","","False"
1_12,"Tailor","Crafting","","True"
1_13,"Wood Worker","Crafting","","True"
1_14,"Potter","Crafting","","True"
1_15,"Angler","Fishing","","True"
1_16,"Diver","Fishing","","False"
1_17,"Cook","Food","","True"
1_18,"Farmer","Food","","True"
1_19,"Hunter","Food","","True"
1_20,"Chemist","Health","","False"
1_21,"Doctor","Health","","False"
1_22,"Nurse","Health","","False"
1_23,"Writer","Learning","","False"
1_24,"Student","Learning","","False"
1_25,"Teacher","Learning","","False"
1_26,"Researcher","Learning","","False"
1_27,"Potter","Learning","","False"
1_28,"Guard","Order","","False"
1_29,"Police Officer","Order","","False"
1_30,"Soldier","Order","","False"
