---,skill_id,parent_id,skill_area,skill_name,skill_desc
ROOT,"ROOT","ROOT","Gathering","base of skill tree - not to be shown","you will not see this in game"
gathering,"gathering","ROOT","Gathering","Gathering skills","collect things"
crafting,"crafting","ROOT","Crafting","Crafting skills","make things"
farming,"farming","ROOT","Gathering","farming","Plant crops and harvest food"
social,"social","ROOT","Social","Social skills","get on with people"
social_talker,"social_talker","social","Social","Conversationalist","Ability to talk comfortably with people"
social_animal_trainer,"social_animal_trainer","social","Social","Animal Trainer","tame wild animals (mutually exclusive with hunting)"
social_seller,"social_seller","social","Social","Sales Person","Sell items at higher price at individual level"
social_marketing,"social_marketing","social","Social","Marketer","advertise and sell items large scale"
cooking,"ROOT","cooking","Food","cooking","make food"
foraging,"foraging","gathering","Gathering","Foraging","collect resources from the land"
fishing,"fishing","ROOT","Fishing","Fishing","catch fish"
mining,"mining","ROOT","Gathering","Mining","dig for ores and gems"
mining_pan,"mining_pan","mining","Gathering","Panning","Pan for gold in rivers "
mining_dig,"mining_dig","mining","Gathering","Underground Mining","Dig for ores and gems "
mining_sea,"mining_sea","mining","Gathering","Sea Mining","Mine under the sea "
mining_mountains,"mining_mountains","mining","Gathering","Altitude Mining","Mine high in the Alps for rare gems"
artist,"artist","ROOT","Crafting","Artist","create art"
artist_painting,"artist_painting","artist","Crafting","Painting","Paint pictures "
artist_pottery,"artist_pottery","artist","Crafting","Pottery","Make clay objects "
artist_designer,"artist_designer","artist","Crafting","Designer","Design objects "
artist_designer_clothes,"artist_designer_clothes","artist_designer","Crafting","Clothes Design","Design Clothes "
artist_designer_tools,"artist_designer_tools","artist_designer","Crafting","Tool Design","Design Tools "
artist_designer_house,"artist_designer_house","artist_designer","Crafting","House Design","Design Houses "
artist_designer_interior,"artist_designer_interior","artist_designer","Crafting","Interior decorating","Interior design for houses "
engineering,"engineering","ROOT","Construction","Engineering","invent new gadgets	"
engineering_civil,"engineering_civil","engineering","Construction","Civil Engineering","make roads and bridges"
engineering_mechanical,"engineering_mechanical","engineering","Construction","Mechanical Engineering","make gadgets"
leatherworking,"leatherworking","ROOT","Crafting","Leatherworking","make jackets and armour"
mechanic,"mechanic","ROOT","Crafting","Mechanic","fix and build anything mechanical"
blacksmith,"blacksmith","ROOT","Crafting","Blacksmith","uses forge to make metal products"
blacksmith_armourer,"blacksmith_armourer","blacksmith","Crafting","Armourer","makes armour"
blacksmith_weaponsmith,"blacksmith_weaponsmith","blacksmith","Crafting","Weaponsmth","makes weapons"
blacksmith_toolcrafter,"blacksmith_toolcrafter","blacksmith","Crafting","Tool Crafter","makes tools"
tailoring,"tailoring","ROOT","Crafting","Tailor","make clothes and bags"
woodworking,"woodworking","ROOT","Crafting","Wood Working","fine woodworking"
brewing,"brewing","ROOT","Crafting","Brewing","make ales and beers	"
winemaking,"winemaking","ROOT","Crafting","Wine Making","make wines and spirits"
diving,"diving","ROOT","Fishing","Diving","Dive for seafood"
hunting,"hunting","ROOT","Gathering","Hunting","kill animals for food (mutually exclusive with animal_trainer)"
hunting_traps,"hunting_traps","hunting","Gathering","Hunting with Traps","Use traps to catch game "
hunting_blind,"hunting_blind","hunting","Gathering","Hunting by Stealth","Hunt from a blind "
hunting_chase,"hunting_chase","hunting","Gathering","Hunting by Chasing","Hunt by chasing game "
cooking_baking,"cooking_baking","cooking","Crafting","Baking","Make Cakes and Pies"
cooking_stirfry,"cooking_stirfry","cooking","Crafting","Salad","specialise in making Stir fry food"
cooking_roast,"cooking_roast","cooking","Crafting","Roaster","specialise in making roast food"
cooking_pan,"cooking_pan","cooking","Crafting","Pan Fry","specialise in making pan fry food"
cooking_soup,"cooking_soup","cooking","Crafting","Soup","specialise in making Soup"
cooking_salad,"cooking_salad","cooking","Crafting","Salad Expert","specialise in making salads"
fishing_lake,"fishing_lake","fishing","Fishing","Lake Angler","specialise in fishing in Lakes"
fishing_river,"fishing_river","fishing","Fishing","River Angler","specialise in fishing in Rivers"
fishing_beach,"fishing_beach","fishing","Fishing","Beach Angler","specialise in fishing on beaches"
fishing_sea,"fishing_sea","fishing","Fishing","Sea Angler","specialise in fishing in open sea"
fishing_caves,"fishing_caves","fishing","Fishing","Cave Angler","specialise in fishing in underground Caves"
