---,goal_id,plan_id,weight,cost
money_work,"money","work","9.000000","0.000000"
money_business,"money","business","8.000000","100.000000"
money_forage,"money","forage","5.000000","0.000000"
money_craft,"money","craft","6.000000","0.000000"
people_family,"people","family","9.000000","0.000000"
people_friends,"people","friends","9.000000","0.000000"
people_socialise,"people","socialise","7.000000","0.000000"
people_charity,"people","charity","8.000000","0.000000"
learn_work,"learn","work","5.000000","-5.000000"
learn_craft,"learn","craft","5.000000","0.000000"
learn_study,"learn","study","9.000000","0.000000"
learn_train,"learn","train","7.000000","0.000000"
learn_teach,"learn","teach","4.000000","-2.000000"
fun_friends,"fun","friends","10.000000","0.000000"
fun_family,"fun","friends","8.000000","0.000000"
fun_socialise,"fun","socialise","8.000000","0.000000"
fun_fishing,"fun","fishing","8.000000","0.000000"
fun_games,"fun","games","9.000000","0.000000"
