---,plan_id,plan_name,cost_to_complete,time_to_complete,weight,plan_desc
business,"business","start or run a business","100","10","0",""
work,"work","Get a job","0","0","0",""
forage,"forage","Forage and collect items","0","0","0",""
craft,"craft","Craft items and sell them","0","0","0",""
study,"study","Learn new skills","0","0","0",""
socialise,"socialise","Have fun","0","0","0",""
relax,"relax","Chill out and relax","0","0","0",""
charity,"charity","Help others","0","0","0",""
family,"family","Raise a family (blood or BFF)","0","0","0",""
friends,"friends","Spend time with friends","0","0","0",""
fishing,"fishing","Go fishing","-2","0","0",""
games,"games","Play games","0","0","0",""
train,"train","Train and practice","2","0","0",""
teach,"teach","Teach others","-1","1","0",""
