---,level_name,location_name,X,Y,Z,biome
lvl_desert_DesertCentre,"lvl_desert","Desert Centre","1000.000000","-2000.000000","133.000000","forest"
lvl_desert_DesertHouse,"lvl_desert","Desert House","6550.000000","-1990.000000","-790.393738","forest"
lvl_desert_DesertMid,"lvl_desert","Desert Mid","-10410.000000","5690.000000","578.000000","forest"
lvl_doctade_Castle,"lvl_doctade","Castle","-10485.000000","-4912.000000","22926.000000","forest"
lvl_doctade_backwoods,"lvl_doctade","backwoods","-16229.000000","13542.000000","22945.000000","forest"
lvl_doctade_midwoods,"lvl_doctade","midwoods","-32585.000000","-12271.000000","22945.000000","forest"
lvl_doctade_woods,"lvl_doctade","woods","-10229.000000","5542.000000","22945.000000","forest"
lvl_draeton_DraetonCircle,"lvl_draeton","circle","15580.000000","-4410.000000","380.000000","forest"
lvl_garrison_GroundBack,"lvl_garrison","Ground Back","9928.000000","10680.000000","649.000000","forest"
lvl_grassland_town,"lvl_grassland","town","-15535.000000","-11051.000000","459.000000","forest"
lvl_grassland_Start,"lvl_grassland","Start","-64276.000000","-7355.000000","653.000000","grassland"
lvl_island_FrontBeach,"lvl_island","Front Beach","7900.000000","0.000000","100.000000","forest"
lvl_island_island_Beach,"lvl_island","island_Beach","9030.000000","18205.000000","95.000000","forest"
lvl_island_MountainStart,"lvl_island","Mountain Start","7200.000000","-7200.000000","990.000000","forest"
lvl_island_RockyOutcrop,"lvl_island","Rocky Outcrop","-5860.000000","-6540.000000","100.000000","forest"
lvl_mountains_BackoftheMountains,"lvl_mountains","Back of the Mountains","28856.000000","-12720.000000","6400.000000","forest"
lvl_mountains_somewhere,"lvl_mountains","somewhere","-33030.000000","5490.000000","-283.750916","forest"
lvl_mountains_GroundBack,"lvl_mountains","Ground Back","8010.000000","15930.000000","1590.000000","forest"
lvl_mountains_MountainStart,"lvl_mountains","Mountain Start","-29610.000000","-230.000000","-267.578857","forest"
lvl_mountains_MountainsMid,"lvl_mountains","Mountains Mid","3100.000000","3580.000000","9071.405273","forest"
lvl_mountains_MountainsMid2,"lvl_mountains","Mountains Mid2","-3600.000000","2010.000000","6656.249023","forest"
lvl_mountains_PathonGround,"lvl_mountains","Path on Ground","-17710.000000","1560.000000","1451.717773","forest"
lvl_mountains_PlateauLeftBack,"lvl_mountains","Plateau Left Back","-31950.000000","-7600.000000","460.936890","forest"
lvl_mountains_PlateauRightBack,"lvl_mountains","Plateau Right Back","-28970.000000","8980.000000","4640.000000","forest"
lvl_quarry_Castle,"lvl_quarry","Castle","-7790.000000","12670.000000","5830.000000","forest"
lvl_quarry_Highlands,"lvl_quarry","Highlands","3330.000000","8550.000000","4605.389160","forest"
lvl_quarry_Mine,"lvl_quarry","Mine","-3030.000000","-4990.000000","460.000000","forest"
lvl_quarry_MineMiddle,"lvl_quarry","Mine Middle","3510.000000","-4150.000000","390.000000","forest"
lvl_quarry_Pond,"lvl_quarry","Pond","7870.000000","-17505.000000","-60.000000","forest"
lvl_quarry_Shed,"lvl_quarry","Shed","8680.000000","-15000.000000","54.687599","forest"
lvl_quarry_Start,"lvl_quarry","Start","7950.000000","-21670.000000","160.000000","forest"
lvl_quarry_WoodsEnd,"lvl_quarry","Woods End","-8040.000000","-14240.000000","180.702179","forest"
lvl_quarry_WoodsMiddle,"lvl_quarry","Woods Middle","-3680.000000","-15470.000000","540.000000","forest"
lvl_quarry_Woods,"lvl_quarry","Woods","1700.000000","-15940.000000","210.001038","forest"
lvl_quarry_WoodsStart,"lvl_quarry","Woods Start","-8000.000000","-15940.000000","210.001038","forest"
lvl_quarry_Zombie_woods,"lvl_quarry","Zombie_woods","-3480.000000","-16202.000000","310.000000","forest"
lvl_quarry_misc,"lvl_quarry","misc","2310.000000","8280.000000","4634.216309","forest"
lvl_spring_burial,"lvl_spring","burial","-257290.000000","-256530.000000","-32840.000000","forest"
lvl_spring_lake,"lvl_spring","lake","-325783.000000","-313930.000000","-44392.000000","forest"
lvl_spring_plains,"lvl_spring","plains","-256290.000000","-257530.000000","-32840.000000","forest"
lvl_spring_tower,"lvl_spring","tower","-346640.000000","-264420.000000","-28380.000000","forest"
lvl_spring_town,"lvl_spring","town","-280720.000000","-298710.000000","-41249.000000","forest"
lvl_test_TEST1,"lvl_test","TEST1","-4000.000000","-6000.000000","150.000000","forest"
lvl_town_clinton_Exit,"lvl_town_clinton","Exit","4160.000000","-41410.000000","1410.000000","forest"
lvl_town_clinton_Rocks,"lvl_town_clinton","Rocks","18580.000000","-37850.000000","422.970215","forest"
lvl_town_clinton_TownCentre,"lvl_town_clinton","Town Centre","-1080.000000","2060.000000","496.000000","forest"
lvl_tutorial_side_area,"lvl_tutorial","side_Area","-2010.000000","-1670.000000","200.000000","grassland"
lvl_tutorial_ore_corner,"lvl_tutorial","ore_corner","3860.000000","-1220.000000","200.000000","grassland"
lvl_tutorial_mine_entrance,"lvl_tutorial","mine_entrance","820.000000","100.000000","150.000000","woods"
lvl_town_start,"lvl_town","start","10112.000000","185.000000","348.000000","woods"
lvl_town_forest,"lvl_town","forest","-17360.000000","8485.000000","845.000000","forest"
lvl_town_hilltop,"lvl_town","hilltop","-3985.000000","12985.000000","6375.000000","mountain"
lvl_town_woods,"lvl_town","woods","-2050.000000","-12950.000000","2092.000000","woods"
lvl_town_beach,"lvl_town","beach","2145.000000","-21995.000000","330.000000","grassland"
lvl_town_farlon_lighthouse,"lvl_town_farlon","lighthouse","-21305.000000","-6145.000000","755.000000","grassland"
lvl_town_farlon_start,"lvl_town_farlon","start","0.000000","0.000000","192.000000","HUMAN_BUILT"
lvl_town_farlon_bridge,"lvl_town_farlon","bridge","1660.000000","14860.000000","727.000000","HUMAN_BUILT"
lvl_town_farlon_TEST,"lvl_town_farlon","TEST","-24490.000000","-31110.000000","200.000000","HUMAN_BUILT"
lvl_town_farlon_beach,"lvl_town_farlon","beach","-12070.000000","2520.000000","-295.000000","swamp"
lvl_town_farlon_forest,"lvl_town_farlon","forest","12890.000000","9910.000000","860.000000","forest"
lvl_town_farlon_woods,"lvl_town_farlon","woods","-255.000000","-24125.000000","165.000000","woods"
lvl_town_farlon_quarry,"lvl_town_farlon","quarry","-7425.000000","-14530.000000","105.000000","mountain"
lvl_town_farlon_lake,"lvl_town_farlon","lake","19815.000000","25250.000000","555.000000","mountain"
lvl_doctade_town_binta,"lvl_doctade","binta","39040.000000","71565.000000","9485.000000","HUMAN_BUILT"
lvl_canyon_dock,"lvl_canyon","dock","-240065.000000","335605.000000","-36176.000000","desert"
lvl_draeton_castle,"lvl_draeton","castle","-2365.000000","4300.000000","2390.000000","HUMAN_BUILT"
lvl_draeton_dock,"lvl_draeton","dock","-1430.000000","13595.000000","397.000000","woods"
lvl_spring_dock,"lvl_spring","dock","-310021.000000","-315087.000000","-44827.000000","mountain"
lvl_helron_dock,"lvl_helron","dock","-202900.000000","-76250.000000","45453.000000","tundra"
lvl_helron_plain,"lvl_helron","plain","53355.000000","38020.000000","107383.000000","mountain"
lvl_helron_pit,"lvl_helron","pit","-81890.000000","83250.000000","-84325.000000","mountain"
lvl_helron_peak,"lvl_helron","peak","-2820.000000","-57695.000000","120615.000000","mountain"
lvl_town_farlon_exit,"lvl_town_farlon","exit","45980.000000","-11560.000000","150.000000","grassland"
lvl_grassland_river_bridge,"lvl_grassland","Bridge","-11344.000000","15350.000000","-1860.000000","grassland"
lvl_grassland_cornfield,"lvl_grassland","Cornfield","-48011.000000","22319.000000","537.000000","grassland"
lvl_grassland_hightown,"lvl_grassland","Hightown","-63221.000000","10283.000000","2950.000000","mountain"
lvl_grassland_lake_cedar,"lvl_grassland","Lake Cedar","25128.000000","22975.000000","-1764.000000","forest"
lvl_town_town,"lvl_town","town","-2940.000000","2035.000000","965.000000","forest"
lvl_jungle_start,"lvl_jungle","start","5830.000000","7525.000000","-1980.000000","jungle"
lvl_jungle_house_top,"lvl_jungle","house","1787.000000","60.000000","149.000000","jungle"
lvl_jungle_river_end,"lvl_jungle","river_end","5505.000000","-17278.000000","-1604.000000","jungle"
lvl_jungle_lake,"lvl_jungle","lake","15732.000000","6910.000000","-2225.000000","jungle"
lvl_jungle_shack,"lvl_jungle","shack","-14658.000000","-4463.000000","-910.000000","jungle"
lvl_jungle_cave_back,"lvl_jungle","cave","-8228.000000","1343.000000","-904.000000","jungle"
