---,tree_type,name,spawn_in_biomes,grow_chance_at_stage,SM_tree_mesh_at_stage
fir,"fir","Fir","(forest,woods,grassland,mountain,tundra,HUMAN_BUILT)","(80,70,50,20,10,10,10,50)","(StaticMesh'""/Game/_DJM/Environment/trees/SM_Fir_01_Plant.SM_Fir_01_Plant""',StaticMesh'""/Game/_DJM/Environment/trees/SM_Fir_02_Small.SM_Fir_02_Small""',StaticMesh'""/Game/_DJM/Environment/trees/SM_Fir_03_Medium.SM_Fir_03_Medium""',StaticMesh'""/Game/_DJM/Environment/trees/SM_Fir_04_Standalone.SM_Fir_04_Standalone""',StaticMesh'""/Game/_DJM/Environment/trees/SM_Fir_05_Standalone.SM_Fir_05_Standalone""',StaticMesh'""/Game/_DJM/Environment/trees/SM_Fir_06_Forest.SM_Fir_06_Forest""',StaticMesh'""/Game/_DJM/Environment/trees/SM_Fir_07_Forest.SM_Fir_07_Forest""',StaticMesh'""/Game/_DJM/Environment/trees/SM_Fir_08_Dead_Forest.SM_Fir_08_Dead_Forest""')"
poplar,"poplar","Poplar","(forest,woods,jungle)","(50,80,70,20,20,20,10,40)","(StaticMesh'""/Game/ext_landscapes/Meadow_Environment_Set/Environment/Foliage/Meshes/SM_Poplar_plant_A_00.SM_Poplar_plant_A_00""',StaticMesh'""/Game/Environment_Set/Environment/Foliage/Models/Poplar_05_Small.Poplar_05_Small""',StaticMesh'""/Game/Environment_Set/Environment/Foliage/Models/Poplar_04_Small.Poplar_04_Small""',StaticMesh'""/Game/Environment_Set/Environment/Foliage/Models/Poplar_03_Medium.Poplar_03_Medium""',StaticMesh'""/Game/Environment_Set/Environment/Foliage/Models/Poplar_01_Standalone.Poplar_01_Standalone""',StaticMesh'""/Game/Environment_Set/Environment/Foliage/Models/Poplar_06_Forest.Poplar_06_Forest""',StaticMesh'""/Game/_DJM/Environment/trees/SM_Poplar_06_Forest.SM_Poplar_06_Forest""',StaticMesh'""/Game/Environment_Set/Environment/Foliage/Models/SM_trunk_02.SM_trunk_02""')"
pine,"pine","Pine","(forest,mountain)","(80,70,70,10,50,50,10,10)","(StaticMesh'""/Game/STF/Pack03-LandscapePro/Environment/Foliage/Pines/pine-small01/SM_pine-small01.SM_pine-small01""',StaticMesh'""/Game/STF/Pack03-LandscapePro/Environment/Foliage/Pines/pine-small02/SM_pine-small02.SM_pine-small02""',StaticMesh'""/Game/STF/Pack03-LandscapePro/Environment/Foliage/Pines/pine-small03/SM_pine-small03.SM_pine-small03""',StaticMesh'""/Game/STF/Pack03-LandscapePro/Environment/Foliage/Pines/pine01/SM_pine01.SM_pine01""',StaticMesh'""/Game/STF/Pack03-LandscapePro/Environment/Foliage/Pines/pine02/SM_pine02.SM_pine02""',StaticMesh'""/Game/STF/Pack03-LandscapePro/Environment/Foliage/Pines/pine03/SM_pine03.SM_pine03""',StaticMesh'""/Game/STF/Pack03-LandscapePro/Environment/Foliage/Pines/pine04/SM_pine04.SM_pine04""',StaticMesh'""/Game/STF/Pack03-LandscapePro/Environment/Foliage/Pines/pine05/SM_pine05.SM_pine05""')"
cedar,"cedar","Cedar","(mountain,tundra)","","(StaticMesh'""/Game/FoliagePackV1/Meshes/Trees/AlaskaCedar/Meshes/SM_AlaskaCedar_Sapling.SM_AlaskaCedar_Sapling""',StaticMesh'""/Game/FoliagePackV1/Meshes/Trees/AlaskaCedar/Meshes/SM_AlaskaCedar_Young.SM_AlaskaCedar_Young""',StaticMesh'""/Game/FoliagePackV1/Meshes/Trees/AlaskaCedar/Meshes/SM_AlaskaCedar_3.SM_AlaskaCedar_3""',StaticMesh'""/Game/FoliagePackV1/Meshes/Trees/AlaskaCedar/Meshes/SM_AlaskaCedar_4.SM_AlaskaCedar_4""',StaticMesh'""/Game/FoliagePackV1/Meshes/Trees/AlaskaCedar/Meshes/SM_AlaskaCedar_1.SM_AlaskaCedar_1""',StaticMesh'""/Game/FoliagePackV1/Meshes/Trees/AlaskaCedar/Meshes/SM_AlaskaCedar_2.SM_AlaskaCedar_2""')"
cherry,"cherry","Cherrytree","(grassland)","","(StaticMesh'""/Game/_DJM/z_ext_marketplace/Ducks/Demo_Content/Earth/StaticMesh/SM_Cherry_Tree.SM_Cherry_Tree""')"
gum,"gum","Gum","(woods,scrub,desert)","","(StaticMesh'""/Game/ext_landscapes/RuralAustralia/StaticMeshes/Vegetation/Tree_S_01/SM_Tree_S_01.SM_Tree_S_01""',StaticMesh'""/Game/ext_landscapes/RuralAustralia/StaticMeshes/Vegetation/Tree_M_04/SM_Tree_M_04.SM_Tree_M_04""',StaticMesh'""/Game/ext_landscapes/RuralAustralia/StaticMeshes/Vegetation/Tree_M_03/SM_Tree_M_03.SM_Tree_M_03""',StaticMesh'""/Game/ext_landscapes/RuralAustralia/StaticMeshes/Vegetation/Tree_M_02/SM_Tree_M_02.SM_Tree_M_02""',StaticMesh'""/Game/ext_landscapes/RuralAustralia/StaticMeshes/Vegetation/Tree_M_01/SM_Tree_M_01.SM_Tree_M_01""',StaticMesh'""/Game/ext_landscapes/RuralAustralia/StaticMeshes/Vegetation/Tree_L_01/SM_Tree_L_01.SM_Tree_L_01""')"
tropic,"tropic","Tropic","(jungle)","","(StaticMesh'""/Game/Tropical_Jungle_Pack/Meshes/Plants/SM_SaplinSmall_01.SM_SaplinSmall_01""',StaticMesh'""/Game/Tropical_Jungle_Pack/Meshes/Trees/SM_tree_medium_01.SM_Tree_Medium_01""',StaticMesh'""/Game/Tropical_Jungle_Pack/Meshes/Trees/SM_tree_medium_02.SM_Tree_Medium_02""',StaticMesh'""/Game/Tropical_Jungle_Pack/Meshes/Trees/SM_Tree_Tropic_01.SM_Tree_Tropic_01""',StaticMesh'""/Game/Tropical_Jungle_Pack/Meshes/Trees/SM_Tree_Tropic_01_novines.SM_Tree_Tropic_01_novines""',StaticMesh'""/Game/Tropical_Jungle_Pack/Meshes/Trees/SM_Tree_Tropic_02.SM_Tree_Tropic_02""',StaticMesh'""/Game/Tropical_Jungle_Pack/Meshes/Trees/SM_Tree_Tropic_02_novines.SM_Tree_Tropic_02_novines""',StaticMesh'""/Game/Tropical_Jungle_Pack/Meshes/Trees/SM_Tree_Tropic_03.SM_Tree_Tropic_03""',StaticMesh'""/Game/Tropical_Jungle_Pack/Meshes/Trees/SM_Tree_Tropic_03_novines.SM_Tree_Tropic_03_novines""')"
coconut,"coconut","Coconut Tree","(jungle,desert)","","(StaticMesh'""/Game/Tropical_Jungle_Pack/Meshes/Trees/SM_PalmCoconut_03.SM_PalmCoconut_03""',StaticMesh'""/Game/Tropical_Jungle_Pack/Meshes/Trees/SM_PalmCoconut_01.SM_PalmCoconut_01""',StaticMesh'""/Game/Tropical_Jungle_Pack/Meshes/Trees/SM_PalmCoconut_02.SM_PalmCoconut_02""',StaticMesh'""/Game/Tropical_Jungle_Pack/Meshes/Trees/SM_PalmCoconut_04.SM_PalmCoconut_04""',StaticMesh'""/Game/Tropical_Jungle_Pack/Meshes/Trees/SM_PalmCoconut_04.SM_PalmCoconut_04""',StaticMesh'""/Game/Tropical_Jungle_Pack/Meshes/Trees/SM_PalmCoconut_04.SM_PalmCoconut_04""',StaticMesh'""/Game/Tropical_Jungle_Pack/Meshes/Trees/SM_PalmCoconut_04.SM_PalmCoconut_04""',StaticMesh'""/Game/Tropical_Jungle_Pack/Meshes/Trees/SM_PalmCoconut_05.SM_PalmCoconut_05""')"
banana,"banana","Banana Tree","(jungle,grassland)","","(StaticMesh'""/Game/PN_Banana/Meshes/plants/banana_01_01.banana_01_01""',StaticMesh'""/Game/PN_Banana/Meshes/plants/banana_01_02.banana_01_02""',StaticMesh'""/Game/PN_Banana/Meshes/plants/banana_01_03.banana_01_03""',StaticMesh'""/Game/PN_Banana/Meshes/plants/banana_01_04.banana_01_04""',StaticMesh'""/Game/PN_Banana/Meshes/plants/banana_01_05.banana_01_05""',StaticMesh'""/Game/PN_Banana/Meshes/plants/banana_01_06.banana_01_06""',StaticMesh'""/Game/PN_Banana/Meshes/plants/banana_01_07.banana_01_07""',StaticMesh'""/Game/PN_Banana/Meshes/plants/banana_01_07.banana_01_07""')"
treefern,"treefern","Tree Fern","(forest,woods,jungle,swamp,grassland)","","(StaticMesh'""/Game/Tropical_Jungle_Pack/Meshes/Plants/SM_plant02.SM_Plant02""',StaticMesh'""/Game/Tropical_Jungle_Pack/Meshes/Trees/SM_tree_fern_01.SM_Tree_Fern_01""',StaticMesh'""/Game/Tropical_Jungle_Pack/Meshes/Trees/SM_tree_fern_02.SM_Tree_Fern_02""')"
