"Sanc Help","2022-8-27 11:49:59"
"<H4>Main Controls</H4>",""
"Period","Run"
"Space Bar","Jump"
"G","Fishing"
"P","photograph"
"H","Horse Call"
"F","Farm"
"E","QuickMenu"
"Slash","chat"
"M","GameLoop"
"H","Horse Mount"
"L","Learn"
"K","Crafting Menu"
"Q","Menu"
"Y","Achievements"
"O","Score"
"Comma","Sneak"
"Left Mouse Button","Use"
"P","Build"
"I","Inventory"
"B","Bag"
"<H4>Chat Commands</H4>",""
"/help","description of the command for the /help"
"/g ","guild chat"
"/p ","party chat"
"/pm","whisper to another player"
"/spawn","spawn an item in front on you"
"/tp","teleport to location home|cave|castle|road"
"/cls","clear the chat scree"
"/list","inv|items|animals|emote|key|farm|cloth"
"/stats","basic stats - location, time, sunpos, light"
"/emote","dance|wave|cry|laugh|flip"
"/char","[NOT USED] ue4, shinbi, twin, phase, fem[a-c], mal[a-c], dum[1-4]"
"/set","sets varaibles - mouse|score|level|next|health|mana|energy|achieve(all|reset|id)"
"/equip","equip armor, clothes or wield something"
"/env","environment commands - rain|thunder|wind on|off"
"/who","list players online"
"/kill","kill a player, NPC or animal (if possible)"
"/weather","environment commands - rain|thunder|wind on|off"
"/sound","on|off|sound_to_play"
"/map","Display Map and list waypoints"
"/debug","on|off"
"/anim","/anim 0 -14 # (you strike a pose)"
"/light","off|dim|on|red|green|white|blue|yellow|orange"
"/bag","fill | dump | tool | sort | WIPE # show bag gui"
"/farm","hoe|plant|grow|harvest|kill"
"/fish","all|avail|biome|water|[fish_name]"
"/test","/test 1 # list  | 1-99 | all"
"/horse","all|spawn|despawn|call"
"/god","Activate GODMODE Screen"
"<H4>Chat Set Commands</H4>",""
"/set mouse","on|off # mouse capture"
"/set health","1|100 # sets health"
"/set score","1|10000 # set score"
"/set level","1|99 # sets players level"
"/set next","1|10000 # set score that player needs to level up"
"/set mana","0|100 # set mana of player"
"/set energy","0|100 # sets players energy"
"/set achievement","reset|all|name # manage achievements"
"/set time","day|night"
"/set day","day of year 1 - 112"
"/set year","year of game 1 - 999"
"/set timewarp","0.01 (fast) to 30 (30 minutes for day)"
"<H4>Chat List Commands</H4>",""
"/list inv","List of inventory items in bags"
"/list item","[filter] (optionally filtered) list of all items in game"
"/list animals","list of animals in game"
"/list emote","list of emotes"
"/list farm","list and status of all farm plots"
"/list clothes","list of all clothes available"
"/list keys","list key bindings"
"/list achievements","list of achievements"
"/list npc","list of all npcs around you"
"/list quest","list players quests"
"/list pick","pickup items like mushrooms, herbs, ore, wood"
"/list sound","list of sounds in game"
"/list pose","list of animation poses for character"
"/list event","list of events"
"/list drop","list of dropped items in world"
"/list fish","all|avail|biome|water # list of all fish, or available fish in this area"
"/list place","List of placed items like plants"
"/list build","list of buildings and built items in world"
"/list chest","list of chests and storage boxes in world"
"/list skill","all|avail|known # list of skill levels"
"/list prof","all|avail|known # list of profession levels"
