num,item_id,loc_X,loc_Y,loc_Z,rot_X, rot_Y,rot_Z,
1,SM_wood_plank_oak,366.925568,66.458923,66.263763,0.0,0.0,0.0,
2,SM_wood_plank_oak,366.925568,66.458923,136.263763,0.0,0.0,0.0,
3,SM_wood_plank_oak,366.925568,-53.198631,148.420074,90.000015,0.0,0.0,
4,SM_wood_plank_oak,366.925568,186.801361,148.420013,90.000015,0.0,0.0,
5,SM_wood_plank_oak,366.925568,66.458923,266.263763,0.0,0.0,0.0,
6,SM_wood_plank_oak,366.925568,66.458923,206.263763,0.0,0.0,0.0,
7,SM_wood_plank_oak,366.925568,66.458923,104.263763,0.0,0.0,0.0,
8,SM_wood_plank_oak,366.925568,294.458923,177.263763,0.0,0.0,0.0,
9,SM_wood_plank_oak,366.925568,403.801361,148.420013,90.000015,0.0,0.0,
10,SM_wood_plank_oak,366.925568,302.458923,116.263763,0.0,0.0,0.0,
11,SM_wood_plank_oak,366.925568,302.458923,265.263763,0.0,0.0,0.0,
12,SM_wood_plank_oak,366.925568,302.458923,64.263763,0.0,0.0,0.0,
