---,name,description,anim_montage
dance,"dance","You break into dance","AnimSequence'/Game/_DJM/character/Animations/emotes/djmDance.djmDance'"
laugh,"laugh","You burst out laughing","AnimSequence'/Game/_DJM/character/Animations/emotes/djmAnim_Laugh.djmAnim_Laugh'"
cry,"cry","you cry","AnimSequence'/Game/_DJM/character/Animations/emotes/Anim_Don_t_Know.Anim_Don_t_Know'"
stop,"stop","Stop all emote animations","AnimSequence'/Game/_DJM/character/Animations/emotes/djmAnim_Body_Stretch.djmAnim_Body_Stretch'"
pick,"pick","Pick stuff from ground","AnimSequence'/Game/_DJM/character/Animations/emotes/Anim_Take_From_Floor.Anim_Take_From_Floor'"
stretch,"stretch","Have a good stretch","AnimSequence'/Game/_DJM/character/Animations/emotes/djmAnim_Body_Stretch.djmAnim_Body_Stretch'"
bow,"bow","You bow down","AnimSequence'/Game/_DJM/character/Animations/emotes/djmAnim_Bow.djmAnim_Bow'"
cheer,"cheer","You Cheer","AnimSequence'/Game/_DJM/character/Animations/emotes/Anim_Crowd_Cheer_1.Anim_Crowd_Cheer_1'"
shrug,"shrug","You shrug","AnimSequence'/Game/_DJM/character/Animations/emotes/Anim_Don_t_Know.Anim_Don_t_Know'"
exercise,"exercise","You do a quick work out","AnimSequence'/Game/_DJM/character/Animations/emotes/Anim_Exercise_1.Anim_Exercise_1'"
gethere,"gethere","Oi, get here right now!","AnimSequence'/Game/_DJM/character/Animations/emotes/Anim_Get_Here_1.Anim_Get_Here_1'"
look,"look","You look around","AnimSequence'/Game/_DJM/character/Animations/emotes/Anim_Look_Around.Anim_Look_Around'"
no,"No","Just ... No","AnimSequence'/Game/_DJM/character/Animations/emotes/Anim_No.Anim_No'"
salute,"salute","You Salute with respect","AnimSequence'/Game/_DJM/character/Animations/emotes/Anim_Salute.Anim_Salute'"
flex,"flex","You flex your muscles like a BOSS","AnimSequence'/Game/_DJM/character/Animations/emotes/Anim_Show_Bicep.Anim_Show_Bicep'"
sit,"sit","You sit down","AnimSequence'/Game/_DJM/character/Animations/emotes/Anim_Sit_Bench_1.Anim_Sit_Bench_1'"
work,"work","You do some work at the table","AnimSequence'/Game/_DJM/character/Animations/emotes/Anim_Smith_Working.Anim_Smith_Working'"
sneeze,"sneeze","You Sneeze - Achoo!","AnimSequence'/Game/_DJM/character/Animations/emotes/Anim_Sneeze.Anim_Sneeze'"
drink,"drink","You drink..... ahhhh","AnimSequence'/Game/_DJM/character/Animations/emotes/Anim_Take_Drink_1.Anim_Take_Drink_1'"
take,"take","You take stuff from the table","AnimSequence'/Game/_DJM/character/Animations/emotes/Anim_Take_From_Table.Anim_Take_From_Table'"
talk,"talk","You chat about various things","AnimSequence'/Game/_DJM/character/Animations/emotes/Anim_Talking_1.Anim_Talking_1'"
think,"think","You have a serious think","AnimSequence'/Game/_DJM/character/Animations/emotes/Anim_Thinking.Anim_Thinking'"
throw,"throw","you throw something - hope it wasnt important","AnimSequence'/Game/_DJM/character/Animations/emotes/Anim_Throw_1.Anim_Throw_1'"
wash,"wash","you wash the window","AnimSequence'/Game/_DJM/character/Animations/emotes/Anim_Washing_Window.Anim_Washing_Window'"
wave,"wave","You wave","AnimSequence'/Game/_DJM/character/Animations/emotes/Anim_Wave_1.Anim_Wave_1'"
clap,"clap","You clap!  Well done","AnimSequence'/Game/_DJM/character/Animations/emotes/djmAnim_Clap_1.djmAnim_Clap_1'"
booyah,"booyah","Boo Yah!","AnimSequence'/Game/_DJM/character/Animations/emotes/Emote_BooYah_M1.Emote_BooYah_M1'"
gimmebreak,"gimmebreak","Oh, give me a break","AnimSequence'/Game/_DJM/character/Animations/emotes/Emote_GimmeBreak.Emote_GimmeBreak'"
death,"death","You die","AnimSequence'/Game/_DJM/character/Animations/emotes/Death_1.Death_1'"
crouch,"crouch","You crouch down","AnimSequence'/Game/_DJM/character/Animations/idle/MOB1_Crouch_Idle_V2_IPC.MOB1_Crouch_Idle_V2_IPC'"
sleep,"sleep","You lay down to sleep","AnimSequence'/Game/_DJM/character/Animations/idle/Prone_Death_1.Prone_Death_1'"
fight1,"fight1","You Attack with Meelee weapon","AnimSequence'/Game/_DJM/character/Animations/emotes/Standing_Melee_Attack_Horizontal.Standing_Melee_Attack_Horizontal'"
swim1,"swim1","You go for a swim","AnimSequence'/Game/_DJM/character/Animations/emotes/animSwimUnderwater2.animSwimUnderwater2'"
pat,"pat","You pat the animal","AnimSequence'/Game/_DJM/character/Animations/emotes/petdog.petdog'"
leap,"leap","You leap and attack","AnimSequence'/Game/_DJM/character/Animations/Melee/Attacks/Standing_Melee_Run_Jump_Attack.Standing_Melee_Run_Jump_Attack'"
sweep,"sweep","You sweep","AnimSequence'/Game/_DJM/character/Animations/animSweepFloor1.animSweepFloor1'"
pose1,"pose1","Pose 1","AnimSequence'/Game/_DJM/character/Animations/PoseAnimations/Animations/AimSpace/Pose02/A_Aim02_CC.A_Aim02_CC'"
pose2,"pose2","Pose 2","AnimSequence'/Game/_DJM/character/Animations/PoseAnimations/Animations/AimSpace/Pose01/A_Aim01.A_Aim01'"
dust,"dust","You dust yourself off","AnimSequence'/Game/_DJM/character/Animations/PoseAnimations/Animations/DustOff/A_Dust05.A_Dust05'"
clap2,"clap2","you clap vaguely","AnimSequence'/Game/_DJM/character/Animations/PoseAnimations/Animations/Clapping/A_Clap06.A_Clap06'"
clap3,"clap3","you clap lazily","AnimSequence'/Game/_DJM/character/Animations/PoseAnimations/Animations/Clapping/A_Clap10.A_Clap10'"
point1,"point1","You point at something","AnimSequence'/Game/_DJM/character/Animations/PoseAnimations/Animations/Pointing/A_Point01.A_Point01'"
thumbsdown1,"thumbsdown1","you give the thumbs down","AnimSequence'/Game/_DJM/character/Animations/PoseAnimations/Animations/ThumbsDown/A_ThumbsDown01.A_ThumbsDown01'"
thumbsup1,"thumbsup1","you give the thumbs up","AnimSequence'/Game/_DJM/character/Animations/PoseAnimations/Animations/ThumbsUp/A_ThumbsUp01.A_ThumbsUp01'"
walk1,"walk1","you walk with style","AnimSequence'/Game/_DJM/character/Animations/PoseAnimations/Animations/Walks/A_Pose01walk.A_Pose01walk'"
chargeup,"chargeup","You feel yourself powering up","AnimSequence'/Game/_DJM/character/Animations/Melee/1H/Sword_And_Shield_Power_Up.Sword_And_Shield_Power_Up'"
cast,"cast","you cast something","AnimSequence'/Game/_DJM/character/Animations/Melee/1H/Cast.Cast'"
bigwork,"bigwork","Standing_Melee_Attack_Downward_mixamo_com","AnimSequence'/Game/_DJM/character/Animations/Melee/Attacks/Standing_Melee_Attack_Downward_mixamo_com.Standing_Melee_Attack_Downward_mixamo_com'"
battlecry,"battlecry","Standing_Taunt_Battlecry","AnimSequence'/Game/_DJM/character/Animations/Melee/Attacks/Standing_Taunt_Battlecry.Standing_Taunt_Battlecry'"
tablet,"tablet","You read the book","AnimSequence'/Game/_DJM/character/Animations/animUseTabletStand1.animUseTabletStand1'"
sitcraft1,"sitcraft1","You sit and craft something","AnimSequence'/Game/_DJM/character/Animations/animUseKeyboardSit1.animUseKeyboardSit1'"
sitcraft2,"sitcraft2","You sit and craft something","AnimSequence'/Game/_DJM/character/Animations/animUseKeyboardSit2.animUseKeyboardSit2'"
sitcraft3,"sitcraft3","You sit and craft something","AnimSequence'/Game/_DJM/character/Animations/animUseKeyboardSit3.animUseKeyboardSit3'"
sitcraft4,"sitcraft4","You sit and craft something","AnimSequence'/Game/_DJM/character/Animations/animUseMonitorSit1.animUseMonitorSit1'"
sitcraft5,"sitcraft5","You sit and craft something","AnimSequence'/Game/_DJM/character/Animations/animUseMonitorSit2.animUseMonitorSit2'"
sitcraft1_4,"sitcraft1","You sit and craft something","AnimSequence'/Game/_DJM/character/Animations/animUseKeyboardSit1.animUseKeyboardSit1'"
readbook,"readbook","You read the book","AnimSequence'/Game/_DJM/character/Animations/animUseTabletStand2.animUseTabletStand2'"
phone,"phone","You use your phone","AnimSequence'/Game/_DJM/character/Animations/animUseTabletStand3.animUseTabletStand3'"
chop,"chop","You chop wood","AnimSequence'/Game/_DJM/character/Animations/idle/Anim_Cutting_Wood.Anim_Cutting_Wood'"
fallsleep,"fallsleep","You fall down and sleep","AnimSequence'/Game/_DJM/character/Animations/idle/MOB1_Stand_Relaxed_Death_B.MOB1_Stand_Relaxed_Death_B'"
ninjadownkick,"ninjadownkick","You do a Ninja attack","AnimSequence'/Game/_DJM/character/Animations/CloseCombatAnimSet/Animations/InPlace/Attacks/NinjaCutDownKick.NinjaCutDownKick'"
ninjalefthook,"ninjalefthook","You do a Ninja attack","AnimSequence'/Game/_DJM/character/Animations/CloseCombatAnimSet/Animations/InPlace/Attacks/NinjaLeftHook.NinjaLeftHook'"
shower,"shower","You have a shower","AnimSequence'/Game/_DJM/character/Animations/idle/Take_A_Shower.Take_A_Shower'"
sit_fire,"sit_fire","You sit down by the fire","AnimSequence'/Game/_DJM/character/Animations/idle/Sitting_By_The_Fire.Sitting_By_The_Fire'"
guitar,"guitar","You play the ","AnimSequence'/Game/_DJM/character/Animations/idle/Sitting_Playing_Guitar.Sitting_Playing_Guitar'"
eat,"eat","You eat","AnimSequence'/Game/_DJM/character/Animations/idle/Eating_Chips.Eating_Chips'"
benchpress,"benchpress","You bench press some weights","AnimSequence'/Game/_DJM/character/Animations/idle/Benchpress.Benchpress'"
bandage,"bandage","you bandage yourself","AnimSequence'/Game/_DJM/character/Animations/idle/Bandaging.Bandaging'"
choptree,"choptree","You chop a tree","AnimSequence'/Game/_DJM/character/Animations/idle/Cutting_Tree.Cutting_Tree'"
fish_idle,"fish_idle","You are fishing - waiting for a bite","AnimSequence'/Game/_DJM/character/Animations/idle/Fishing_Idle.Fishing_Idle'"
fish_reel,"fish_reel","You reel in the fish","AnimSequence'/Game/_DJM/character/Animations/idle/Fishing_Reeling_The_Rod.Fishing_Reeling_The_Rod'"
fish_cast,"fish_cast","You cast in your fishing line","AnimSequence'/Game/_DJM/character/Animations/idle/Fishing_Rod_Swing.Fishing_Rod_Swing'"
fish_bite,"fish_bite","You get a bite on your fishing line","AnimSequence'/Game/_DJM/character/Animations/idle/Fishing_Shake_The_Bait.Fishing_Shake_The_Bait'"
zombie_grab_to_kick,"zombie_grab_to_kick","Zombie Grab to Kick","AnimSequence'/Game/BSP_ZombieAnims/Animations/Interactive/Human/AS_NAAT_Human_Grab_To_Kick.AS_NAAT_Human_Grab_To_Kick'"
zombie_crawl_idle,"zombie_crawl_idle","Zombie Crawl Idle","AnimSequence'/Game/BSP_ZombieAnims/Animations/Crawl/AS_NAAT_Zombie_Crawl_Idle.AS_NAAT_Zombie_Crawl_Idle'"
