item_id,drop_chance,locations_avail,water_types_avail,actor_class_for_spawning,avg_size,avg_speed,bait
fish_pike,0.1,"(woods,mountain)","(river,ocean)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_pike.BP_fish_pike_C',6,6,"(insect,worm,fish,plant)"
fish_salmon,0.2,"(mountain,HUMAN_BUILT)","(river,beach)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_salmon.BP_fish_salmon_C',5,6,"(insect,worm,fish)"
fish_frog_brown,0.1,"(scrub,grassland,swamp)","(river,lake)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_frog_brown.BP_fish_frog_brown_C',1,2,(insect)
food_apple,0.1,"(forest,HUMAN_BUILT)","(river,lake,ocean)",BlueprintGeneratedClass'/Game/_DJM/InventorySystem/Items/Blueprints/Food_Apple.Food_Apple_C',1,0,"(insect,worm,fish,plant)"
fish_crab,0.1,"(tundra,HUMAN_BUILT,jungle)","(river,lake)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_crab.BP_fish_crab_C',1,2,"(insect,worm,fish,plant)"
fish_mackeral,0.2,(grassland),"(river,lake,ocean)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_mackeral.BP_fish_mackeral_C',6,6,"(insect,worm,fish,plant)"
fish_octopus,0.1,"(HUMAN_BUILT,forest)",(ocean),BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_octopus.BP_fish_octopus_C',2,4,(fish)
fish_perch,0.1,"(forest,HUMAN_BUILT,grassland)","(river,lake,ocean)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_perch.BP_fish_perch_C',5,4,"(insect,worm,fish,plant)"
fish_red_eye,0.1,(desert),"(river,lake,ocean)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_red_eye.BP_fish_red_eye_C',3,5,"(insect,worm,fish,plant)"
fish_shark,0.1,(HUMAN_BUILT),(ocean),BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_shark.BP_fish_shark_C',9,7,"(fish,meat)"
shell_scallop,0.1,"(scrub,forest,woods)",(ocean),BlueprintGeneratedClass'/Game/_DJM/crafting/pickups/ShellPickupScallop.ShellPickupScallop_C',1,0,(plant)
animal_snail,0.1,"(grassland,woods,swamp)","(lake,river)",BlueprintGeneratedClass'/Game/_DJM/crafting/pickups/SnailPickup.SnailPickup_C',1,0,(plant)
fish_perch_jungle,0.2,(jungle),"(river,lake,ocean)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_perch_jungle.BP_fish_perch_jungle_C',5,4,"(insect,worm,fish,plant)"
fish_crab_blue,0.1,"(HUMAN_BUILT,scrub,woods)",(ocean),BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_crab_blue.BP_fish_crab_blue_C',1,2,"(insect,worm,fish,plant)"
fish_frog,0.1,"(grassland,woods,forest)","(river,lake)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_frog.BP_fish_frog_C',1,2,(insect)
fish_frog_red,0.1,"(jungle,mountain,swamp)","(river,lake)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_frog_red.BP_fish_frog_red_C',1,2,(insect)
fish_goliath,0.05,"(mountain,tundra)","(river,lake)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_goliath.BP_fish_goliath_C',8,7,"(meat,fish)"
fish_starfish,0.02,"(scrub,forest,woods,grassland,swamp)",(ocean),BlueprintGeneratedClass'/Game/_DJM/crafting/pickups/ShellPickupStarfish.ShellPickupStarfish_C',1,0,(plant)
fish_eel,0.02,"(tundra,swamp)",(ocean),BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_eel.BP_fish_eel_C',9,7,(fish)
fish_bleak_small,0.099,"(woods,HUMAN_BUILT,forest)","(river,lake,ocean,lake)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_bleak.BP_fish_bleak_C',4,5,"(insect,worm)"
fish_tropical_01,0.99,"(jungle,desert)","(river,lake,ocean)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_tropical_01.BP_fish_tropical_01_C',4,5,"(insect,worm,fish,plant)"
fish_tropical_02,0.99,"(jungle,desert)","(river,lake,ocean)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_tropical_02.BP_fish_tropical_02_C',4,5,"(insect,worm,fish,plant)"
fish_tropical_03,0.99,"(jungle,desert)","(river,lake,ocean)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_tropical_03.BP_fish_tropical_03_C',4,5,"(insect,worm,fish,plant)"
fish_tropical_04,0.99,"(jungle,desert)","(river,lake,ocean)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_tropical_04.BP_fish_tropical_04_C',4,5,"(insect,worm,fish,plant)"
fish_tropical_05,0.99,"(jungle,desert)","(river,lake,ocean)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_tropical_05.BP_fish_tropical_05_C',4,5,"(insect,worm,fish,plant)"
fish_tropical_06,0.99,"(jungle,desert)","(river,lake,ocean)",BlueprintGeneratedClass'/Game/_DJM/crafting/fishing/Blueprints/BP_fish_tropical_06.BP_fish_tropical_06_C',2,3,"(insect,worm,fish,plant)"
