id,"size_X","size_Y","size_Z","radius"
"animal_scorpion","31.636005","42.833305","23.968544","24.375095"
"animal_snail","10.864613","26.888325","12.684231","14.919991"
"ball_yoga","75.08548","75.085464","75.085487","37.542751"
"bar_copper","28.03126","10.540295","7.26967","15.244332"
"bar_gold","28.03126","10.540295","7.26967","15.244332"
"bar_iron","27.850389","10.472279","7.222767","15.145972"
"bar_silver","27.850389","10.472279","7.222767","15.145972"
"book","3.422723","22.214115","32.760712","19.864826"
"bottle_short","17.974583","17.974583","18.711424","11.920938"
"bottle_tall_empty","11.422558","11.422557","29.982069","15.091042"
"bucket","38.997116","68.466446","42.045025","40.10397"
"cloth_access_glasses_a_F","16.351019","14.021561","3.933014","10.470961"
"cloth_access_glasses_a_M","16.174824","15.815233","4.437775","10.838795"
"cloth_access_glasses_b_F","16.011757","16.660471","2.872238","10.869834"
"cloth_access_glasses_b_M","16.540525","17.210669","2.967102","11.2288"
"cloth_access_horns_F","18.479959","3.442714","15.579773","11.923304"
"cloth_access_horns_M","18.479959","3.442714","15.579773","11.923304"
"cloth_access_sweatband_F","16.110291","21.170017","10.536972","10.801914"
"cloth_access_sweatband_M","15.839387","21.435501","11.142517","11.090937"
"cloth_chest_jacket_F","143.063416","29.678589","58.939171","74.981293"
"cloth_chest_jacket_M","142.721893","27.525379","58.174294","74.794815"
"cloth_chest_polo_shirt_F","134.919983","33.401264","64.419838","71.344597"
"cloth_chest_polo_shirt_M","138.183914","27.829643","58.571938","72.306946"
"cloth_chest_training_robes_F","77.78067","31.359245","91.259407","56.445045"
"cloth_chest_training_robes_M","76.496262","31.969828","94.164215","57.478886"
"cloth_chest_tshirt_longsleeve_F","145.323624","27.916714","52.0438","75.514389"
"cloth_chest_tshirt_longsleeve_M","145.462097","27.148464","51.489075","75.6819"
"cloth_chest_tshirt_shortsleeve_F","79.254166","29.791573","51.677834","45.671291"
"cloth_chest_tshirt_shortsleeve_M","79.635666","29.370815","55.210861","46.540627"
"cloth_chest_tshirt_sleeveless_F","40.795799","28.014751","47.301308","27.434555"
"cloth_chest_tshirt_sleeveless_M","43.367622","27.227745","49.829567","30.450254"
"cloth_hat_brim_A_Female","44.917065","45.105972","15.504074","23.550446"
"cloth_hat_brim_A_Male","44.917065","45.105972","15.504074","23.550446"
"cloth_hat_construction_F","20.982246","31.83489","12.900894","17.101351"
"cloth_hat_construction_M","20.444897","31.447111","12.743759","16.893045"
"cloth_hat_floppy_A_Female","49.042313","49.148849","20.701859","25.259378"
"cloth_hat_floppy_A_Male","47.370132","47.488304","21.215439","24.431524"
"cloth_hat_old_hood_Female","48.693428","32.799965","47.313477","33.651852"
"cloth_hat_old_hood_Male","53.198467","35.153679","47.214371","35.228966"
"cloth_hat_winter_beanie_Female","20.864164","22.792805","21.42128","13.293226"
"cloth_hat_winter_beanie_Male","20.86417","22.792801","21.421265","13.293242"
"cloth_pants_Basic_Female","40.46769","27.767248","97.307426","51.403416"
"cloth_pants_Basic_Male","43.603577","27.249493","101.879326","54.182655"
"cloth_pants_short_Female","39.148254","25.618002","56.877552","33.345497"
"cloth_pants_short_Male","41.214005","24.472065","59.52816","34.78447"
"cloth_pants_short_tropical","39.148254","25.618002","56.877552","33.345497"
"cloth_shoes_basic_Female","37.008621","28.793905","25.386915","23.791536"
"cloth_shoes_basic_Male","41.387806","31.638407","27.894852","26.390316"
"cloth_shoes_boots_Female","39.346458","30.876657","37.305725","28.405581"
"cloth_shoes_boots_Male","43.947731","35.905632","43.352264","32.514668"
"cloth_shoes_slipon_Female","36.376858","27.593493","9.756091","20.142254"
