---,level,sound_id,has_played
lvl_quarry,"lvl_quarry","Min_Medieval_Hamlet_Intro_1","False"
lvl_town,"lvl_town","Min_Medieval_Town_Loopable","False"
lvl_test,"lvl_test","Min_Polar_Night_Full","False"
lvl_cave,"lvl_cave","Min_Underworld_Full","False"
lvl_draeton,"lvl_draeton","Min_Medieval_Hamlet_Intro_2","False"
lvl_town_clinton,"lvl_town_clinton","Min_Frontier_Main_Full","False"
lvl_garrison,"lvl_garrison","Min_Homestead_Piano_Loopable","False"
lvl_mountains,"lvl_mountains","Min_Tundra_Main_Full","False"
lvl_doctade,"lvl_doctade","Min_Slow_Ascent_Ambient_Full","False"
lvl_desert,"lvl_desert","ambient_wind_low","False"
lvl_grassland,"lvl_grassland","Min_Grasslands_Full","False"
lvl_island,"lvl_island","Min_Wetlands_Full","False"
lvl_mine,"lvl_mine","Min_Crypt_Full","False"
lvl_helron,"lvl_helron","Min_Ancient_Ambience_Full","False"
lvl_spring,"lvl_spring","Min_Piano_Ambience_Full","False"
lvl_canyon,"lvl_canyon","Min_Dark_Catacombs_Ambient_Loop_1","False"
lvl_rocky_meadows,"lvl_rocky_meadows","Min_Tundra_Dungeon_Loopable","False"
lvl_town_farlon,"lvl_town_farlon","Min_Open_World_Full","False"
