---,mat_type,name,material
clay,"clay","clay","MaterialInstanceConstant'/Game/ext_landscapes/MedievalDungeon/Materials/M_Pots_Inst.M_Pots_Inst'"
sandstone,"rock_sandstone","sandstone","MaterialInstanceConstant'/Game/MaterialLibrary/Materials/MI_Rock_Sandstone_Inst.MI_Rock_Sandstone_Inst'"
rust,"metal_rust","rust","MaterialInstanceConstant'/Game/MaterialLibrary/Materials/MI_Metal_Rust_Inst.MI_Metal_Rust_Inst'"
walnut,"wood_walnut","walnut","MaterialInstanceConstant'/Game/MaterialLibrary/Materials/MI_Wood_Walnut_Inst.MI_Wood_Walnut_Inst'"
pine,"wood_pine","pine","MaterialInstanceConstant'/Game/MaterialLibrary/Materials/MI_Wood_Pine_Inst.MI_Wood_Pine_Inst'"
marble,"rock_marble","marble","MaterialInstanceConstant'/Game/MaterialLibrary/Materials/MI_Rock_Marble_Polished_Inst.MI_Rock_Marble_Polished_Inst'"
basalt,"rock_basalt","basalt","MaterialInstanceConstant'/Game/MaterialLibrary/Materials/MI_Rock_Basalt_Inst.MI_Rock_Basalt_Inst'"
NewRow,"concrete_grime","","MaterialInstanceConstant'/Game/MaterialLibrary/Materials/MI_Concrete_Grime_Inst.MI_Concrete_Grime_Inst'"
NewRow_0,"concrete_panels","","MaterialInstanceConstant'/Game/MaterialLibrary/Materials/MI_Concrete_Panels_Inst.MI_Concrete_Panels_Inst'"
NewRow_1,"concreate_poured","","MaterialInstanceConstant'/Game/MaterialLibrary/Materials/MI_Concrete_Poured_Inst.MI_Concrete_Poured_Inst'"
NewRow_2,"concrete_tiles","","MaterialInstanceConstant'/Game/MaterialLibrary/Materials/MI_Concrete_Tiles_Inst.MI_Concrete_Tiles_Inst'"
NewRow_3,"ground_grass","","MaterialInstanceConstant'/Game/MaterialLibrary/Materials/MI_Ground_Grass_Inst.MI_Ground_Grass_Inst'"
NewRow_4,"ground_gravel","","MaterialInstanceConstant'/Game/MaterialLibrary/Materials/MI_Ground_Gravel_Inst.MI_Ground_Gravel_Inst'"
NewRow_5,"ground_moss","","MaterialInstanceConstant'/Game/MaterialLibrary/Materials/MI_Ground_Moss_Inst.MI_Ground_Moss_Inst'"
NewRow_6,"metal_brushed_nickel","","MaterialInstanceConstant'/Game/MaterialLibrary/Materials/MI_Metal_Brushed_Nickel_Inst.MI_Metal_Brushed_Nickel_Inst'"
NewRow_7,"metal_burnished_steel","","MaterialInstanceConstant'/Game/MaterialLibrary/Materials/MI_Metal_Burnished_Steel_Inst.MI_Metal_Burnished_Steel_Inst'"
NewRow_8,"metal_chrome","","MaterialInstanceConstant'/Game/MaterialLibrary/Materials/MI_Metal_Chrome_Inst.MI_Metal_Chrome_Inst'"
NewRow_9,"metal_copper","","MaterialInstanceConstant'/Game/MaterialLibrary/Materials/MI_Metal_Copper_Inst.MI_Metal_Copper_Inst'"
NewRow_10,"metal_gold","","MaterialInstanceConstant'/Game/MaterialLibrary/Materials/MI_Metal_Gold_Inst.MI_Metal_Gold_Inst'"
NewRow_11,"metal_steel","","MaterialInstanceConstant'/Game/MaterialLibrary/Materials/MI_Metal_Steel_Inst.MI_Metal_Steel_Inst'"
NewRow_12,"stone_floor_castle","","MaterialInstanceConstant'/Game/Medieval_Castle_Vol1/Materials/M_CF_01_Stone_Floor_01.M_CF_01_Stone_Floor_01'"
