id,pickup_type,class_to_spawn
NewRow,"Ore","BlueprintGeneratedClass'/Game/_DJM/crafting/pickups/BP_Pickup_Ore.BP_Pickup_Ore_C'"
NewRow_0,"Herb","BlueprintGeneratedClass'/Game/_DJM/crafting/pickups/HerbPickup.HerbPickup_C'"
NewRow_1,"Egg","BlueprintGeneratedClass'/Game/_DJM/crafting/pickups/BP_Pickup_Egg.BP_Pickup_Egg_C'"
NewRow_2,"GemOrange","BlueprintGeneratedClass'/Game/_DJM/crafting/pickups/GemPickupOrange.GemPickupOrange_C'"
NewRow_3,"GemRed","BlueprintGeneratedClass'/Game/_DJM/crafting/pickups/GemPickupRed.GemPickupRed_C'"
NewRow_4,"GemWhite","BlueprintGeneratedClass'/Game/_DJM/crafting/pickups/GemPickupWhite.GemPickupWhite_C'"
NewRow_5,"Mushroom","BlueprintGeneratedClass'/Game/_DJM/crafting/pickups/mushroomPickup.mushroomPickup_C'"
NewRow_6,"Scorpion","BlueprintGeneratedClass'/Game/_DJM/crafting/pickups/ScorpionPickup.ScorpionPickup_C'"
NewRow_7,"Shell","BlueprintGeneratedClass'/Game/_DJM/crafting/pickups/ShellPickupScallop.ShellPickupScallop_C'"
NewRow_8,"Seaweed","BlueprintGeneratedClass'/Game/_DJM/crafting/pickups/SeaweedPickup.SeaweedPickup_C'"
NewRow_9,"Snail","BlueprintGeneratedClass'/Game/_DJM/crafting/pickups/SnailPickup.SnailPickup_C'"
NewRow_10,"Wood","BlueprintGeneratedClass'/Game/_DJM/crafting/pickups/WoodStickShortPickup.WoodStickShortPickup_C'"
NewRow_11,"Hardwood","BlueprintGeneratedClass'/Game/_DJM/crafting/pickups/WoodStickHardwoodPickup.WoodStickHardwoodPickup_C'"
NewRow_12,"Apple","BlueprintGeneratedClass'/Game/_DJM/crafting/pickups/ApplePickup.ApplePickup_C'"
