---,tool_type,name,Description,object_name_contains
NewRow,"None","None","No tool in hand","N/A"
NewRow_0,"hand","Bare Hands","bare hands","N/A"
NewRow_1,"axe","Axe","Cut down trees and chopping wood","Tool_Axe_"
NewRow_2,"pickaxe","Pickaxe","Mine Ores and break things","Tool_Pickaxe_"
NewRow_3,"hoe","Hoe","Create farm plots ready for planting","Tool_Hoe"
NewRow_4,"shovel","Shovel","Dig in the ground to find things",""
NewRow_5,"hammer","Hammer","Build things, break things","Tool_Hammer_"
NewRow_6,"saw","Saw","cutting and slicing","Tool_Saw_"
NewRow_7,"screwdriver","Screwdriver","repair things","Tool_Screwdriver_"
NewRow_8,"sword","Sword","for Combat and advanced Sushi making","Tool_Sword_"
NewRow_10,"dagger","Dagger","for Combat and cooking","Tool_Dagger_"
NewRow_9,"fishing_rod","Fishing Rod","Catch fish and other stuff in water","Fishing_Rod"
NewRow_11,"fish_trap","Fish Trap","catch crabs and stuff with Fish traps","Tool_Fishtrap"
NewRow_12,"cauldron","Cauldron","Large cooking pot","Tool_Cauldron"
NewRow_13,"pottery_wheel","Pottery Wheel","Make pottery items - plates, jugs, vases","Tool_Pottery_Wheel"
NewRow_14,"seed","Seed Packet","Packet of seeds for planting","seed_"
