---,level_name,location_name,spawn_id_class_name,radius,min_quant,max_quant
[BP_pickup_spawner_22],"lvl_quarry","","HerbPickup_C","6000.000000","15","20"
[BP_spawner_apple_castle],"lvl_quarry","Castle","ApplePickup_C","1000.000000","4","6"
[BP_spawner_Apples_Shed,"lvl_quarry","Shed","ApplePickup_C","1000.000000","3","5"
[BP_spawner_Gem_Mine],"lvl_quarry","Mine","GemPickupRed_C","6000.000000","7","13"
[BP_spawner_Herbs_start],"lvl_quarry","Start","HerbPickup_C","5000.000000","12","19"
[BP_spawner_herbs_woodsStart,"lvl_quarry","Woods Start","HerbPickup_C","5000.000000","19","39"
[BP_spawner_ore_mine_mid],"lvl_quarry","Mine Middle","BP_Pickup_Ore_C","4000.000000","26","34"
[BP_spawner_ore_woodsEnd],"lvl_quarry","Woods End","BP_Pickup_Ore_C","6000.000000","15","20"
[BP_spawner_wood_highlands],"lvl_quarry","Highlands","WoodStickShortPickup_C","5000.000000","20","30"
[BP_spawner_wood_woodsStart],"lvl_quarry","Woods Middle","WoodStickShortPickup_C","4000.000000","15","20"
[BP_spawner_exit],"lvl_town_clinton","Exit","HerbPickup_C","10000.000000","20","25"
[BP_spawner_ore_rocks],"lvl_town_clinton","Rocks","BP_Pickup_Ore_C","10000.000000","35","40"
[BP_spawner_gem_mountains_mid],"lvl_mountains","Mountains Mid","GemPickupRed_C","6000.000000","18","23"
[BP_spawner_gems_mountains_mid_orange],"lvl_mountains","Mountains Mid","GemPickupOrange_C","2000.000000","5","8"
[BP_spawner_herb_ground_back,"lvl_mountains","Ground Back","HerbPickup_C","5000.000000","30","40"
[BP_spawner_mushroom_ground_back],"lvl_mountains","Mountain Start","mushroomPickup_C","5000.000000","20","30"
[BP_spawner_ore_ground_back],"lvl_mountains","Ground Back","BP_Pickup_Ore_C","2000.000000","7","10"
[BP_spawner_ore_mountains_mid],"lvl_mountains","Mountains Mid","BP_Pickup_Ore_C","4000.000000","9","16"
[BP_spawner_ore_path_ground],"lvl_mountains","Path on Ground","BP_Pickup_Ore_C","3000.000000","9","17"
[BP_spawner_ore_plateau_left_back],"lvl_mountains","Plateau Left Back","BP_Pickup_Ore_C","3000.000000","4","10"
[BP_spawner_ore_Plateau_right_front],"lvl_mountains","Plateau Right Back","BP_Pickup_Ore_C","3000.000000","6","10"
[BP_spawner_gems_mountains_mid_red],"lvl_mountains","Mountains Mid","GemPickupRed_C","5000.000000","15","19"
[BP_spawner_ore_desert_mid],"lvl_desert","Desert Mid","BP_Pickup_Ore_C","5000.000000","14","20"
[BP_spawner_wood_desert_house],"lvl_desert","Desert House","WoodStickHardwoodPickup_C","8000.000000","24","30"
[BP_spawner_Gem_White_Desert],"lvl_desert","Desert Centre","GemPickupWhite_C","5000.000000","5","8"
[BP_spawner_mountain_back_ore],"lvl_mountains","Back of the Mountains","BP_Pickup_Ore_C","6000.000000","20","30"
[BP_spawner_clinton_start_wood],"lvl_town_clinton","Town Centre","mushroomPickup_C","5000.000000","15","20"
[BP_spawner_grassland_start_wood],"lvl_grassland","Start","WoodStickShortPickup_C","10000.000000","10","20"
[BP_spawner_grassland_start_mush],"lvl_grassland","Start","mushroomPickup_C","10000.000000","10","20"
[BP_spawner_draeton_woods,"lvl_draeton","Draeton Circle","BP_Pickup_Ore","4000.000000","10","20"
[BP_spawner_ore_garrison],"lvl_garrison","Ground Back","BP_Pickup_Ore_C","5000.000000","17","20"
[BP_spawner_Snails_Pond,"lvl_quarry","Pond","SnailPickup_C","1000.000000","2","4"
[BP_spawner_TEST_Pond,"lvl_quarry","Pond","BP_Pickup_Ore_C","2000.000000","2","4"
[BP_spawner_scorpion_desert_house],"lvl_desert","Desert House","ScorpionPickup_C","8000.000000","24","30"
[BP_spawner_quary_zombies1],"lvl_quarry","Zombie_woods","Enemy_Zombie_C","3500.000000","12","20"
[BP_spawner_quarry_bighead],"lvl_quarry","Woods Start","Enemy_BigHead_C","5000.000000","18","22"
TEST_Monster01,"lvl_test","TEST","Enemy_Zombie_C","900.000000","5","7"
TEST_Monster02,"lvl_test","TEST","Enemy_BigHead_C","800.000000","5","7"
TEST_Monster03,"lvl_test","TEST","Enemy_Spider_C","900.000000","2","3"
TEST_Monster04,"lvl_test","TEST","Enemy_PlantMonster_C","900.000000","2","3"
TEST_Monster05,"lvl_test","TEST","Enemy_Mushroom_C","900.000000","2","3"
[BP_spawner_doctade_bighead],"lvl_doctade","doctade_woods","Enemy_BigHead_C","5000.000000","18","20"
[BP_spawner_doctade_zombie],"lvl_doctade","doctade_backwoods","Enemy_Zombie_C","9000.000000","16","20"
[BP_spawner_doctade_spider],"lvl_doctade","doctade_midwoods","Enemy_Spider_C","6000.000000","15","20"
[BP_spawner_doctade_mushroom],"lvl_doctade","Castle","mushroomPickup_C","9000.000000","40","50"
spawn_grassland_house,"lvl_grassland","home","mushroomPickup_C","500.000000","1","5"
