"npc_id","goal","goal_weight",
"Lavonn","money","6",
"Lavonn","love","3",
"Lavonn","fun","8",
"Lavonn","learn","1",
"Bin","money","10",
"Bin","love","1",
"Bin","fun","2",
"Bin","learn","8",
"Xerxes","money","1",
"Xerxes","love","6",
"Xerxes","fun","8",
"Xerxes","learn","3",
"Dot","money","2",
"Dot","love","4",
"Dot","fun","4",
"Dot","learn","7",
"Kione","money","4",
"Kione","love","6",
"Kione","fun","6",
"Kione","learn","9",
"Allison","money","10",
"Allison","love","6",
"Allison","fun","5",
"Allison","learn","3",
"Paris","money","8",
"Paris","love","5",
"Paris","fun","9",
"Paris","learn","4",
"Euphemia","money","8",
"Euphemia","love","1",
"Euphemia","fun","5",
"Euphemia","learn","10",
"Blake","money","2",
"Blake","love","10",
"Blake","fun","7",
"Blake","learn","3",
