"npc_id","goal","goal_weight","plan_id","plan_weight","task_id",
"Lavonn","money","6","work","4","cafe",
"Lavonn","money","6","work","4","restaurant",
"Lavonn","money","6","work","4","shopping",
"Lavonn","money","6","charity","8","cafe",
"Lavonn","money","6","charity","8","restaurant",
"Lavonn","money","6","charity","8","shopping",
"Lavonn","money","6","family","9","cafe",
"Lavonn","money","6","family","9","restaurant",
"Lavonn","money","6","family","9","shopping",
"Lavonn","money","6","train","7","cafe",
"Lavonn","money","6","train","7","restaurant",
"Lavonn","money","6","train","7","shopping",
"Lavonn","love","3","work","4","cafe",
"Lavonn","love","3","work","4","restaurant",
"Lavonn","love","3","work","4","shopping",
"Lavonn","love","3","charity","8","cafe",
"Lavonn","love","3","charity","8","restaurant",
"Lavonn","love","3","charity","8","shopping",
"Lavonn","love","3","family","9","cafe",
"Lavonn","love","3","family","9","restaurant",
"Lavonn","love","3","family","9","shopping",
"Lavonn","love","3","train","7","cafe",
"Lavonn","love","3","train","7","restaurant",
"Lavonn","love","3","train","7","shopping",
"Lavonn","fun","8","work","4","cafe",
"Lavonn","fun","8","work","4","restaurant",
"Lavonn","fun","8","work","4","shopping",
"Lavonn","fun","8","charity","8","cafe",
"Lavonn","fun","8","charity","8","restaurant",
"Lavonn","fun","8","charity","8","shopping",
"Lavonn","fun","8","family","9","cafe",
"Lavonn","fun","8","family","9","restaurant",
"Lavonn","fun","8","family","9","shopping",
"Lavonn","fun","8","train","7","cafe",
"Lavonn","fun","8","train","7","restaurant",
"Lavonn","fun","8","train","7","shopping",
"Lavonn","learn","1","work","4","cafe",
"Lavonn","learn","1","work","4","restaurant",
"Lavonn","learn","1","work","4","shopping",
"Lavonn","learn","1","charity","8","cafe",
"Lavonn","learn","1","charity","8","restaurant",
"Lavonn","learn","1","charity","8","shopping",
"Lavonn","learn","1","family","9","cafe",
"Lavonn","learn","1","family","9","restaurant",
"Lavonn","learn","1","family","9","shopping",
"Lavonn","learn","1","train","7","cafe",
"Lavonn","learn","1","train","7","restaurant",
"Lavonn","learn","1","train","7","shopping",
"Bin","money","10","business","8","cafe",
"Bin","money","10","business","8","restaurant",
"Bin","money","10","business","8","shopping",
"Bin","money","10","charity","3","cafe",
"Bin","money","10","charity","3","restaurant",
"Bin","money","10","charity","3","shopping",
"Bin","money","10","friends","9","cafe",
"Bin","money","10","friends","9","restaurant",
"Bin","money","10","friends","9","shopping",
"Bin","money","10","train","6","cafe",
"Bin","money","10","train","6","restaurant",
"Bin","money","10","train","6","shopping",
"Bin","love","1","business","8","cafe",
"Bin","love","1","business","8","restaurant",
"Bin","love","1","business","8","shopping",
"Bin","love","1","charity","3","cafe",
"Bin","love","1","charity","3","restaurant",
"Bin","love","1","charity","3","shopping",
"Bin","love","1","friends","9","cafe",
"Bin","love","1","friends","9","restaurant",
"Bin","love","1","friends","9","shopping",
"Bin","love","1","train","6","cafe",
"Bin","love","1","train","6","restaurant",
"Bin","love","1","train","6","shopping",
"Bin","fun","2","business","8","cafe",
"Bin","fun","2","business","8","restaurant",
"Bin","fun","2","business","8","shopping",
"Bin","fun","2","charity","3","cafe",
"Bin","fun","2","charity","3","restaurant",
"Bin","fun","2","charity","3","shopping",
"Bin","fun","2","friends","9","cafe",
"Bin","fun","2","friends","9","restaurant",
"Bin","fun","2","friends","9","shopping",
"Bin","fun","2","train","6","cafe",
"Bin","fun","2","train","6","restaurant",
"Bin","fun","2","train","6","shopping",
"Bin","learn","8","business","8","cafe",
"Bin","learn","8","business","8","restaurant",
"Bin","learn","8","business","8","shopping",
"Bin","learn","8","charity","3","cafe",
"Bin","learn","8","charity","3","restaurant",
"Bin","learn","8","charity","3","shopping",
"Bin","learn","8","friends","9","cafe",
"Bin","learn","8","friends","9","restaurant",
"Bin","learn","8","friends","9","shopping",
"Bin","learn","8","train","6","cafe",
"Bin","learn","8","train","6","restaurant",
"Bin","learn","8","train","6","shopping",
"Xerxes","money","1","work","4","cafe",
"Xerxes","money","1","work","4","restaurant",
"Xerxes","money","1","work","4","shopping",
"Xerxes","money","1","friends","10","cafe",
"Xerxes","money","1","friends","10","restaurant",
"Xerxes","money","1","friends","10","shopping",
"Xerxes","money","1","chat","4","cafe",
"Xerxes","money","1","chat","4","restaurant",
